axis,bucket,descriptor
ability,auditory,Deaf
ability,auditory,hard-of-hearing
ability,auditory,hearing-impaired
ability,intellectual_and_developmental,learning-disabled
ability,intellectual_and_developmental,retarded
ability,intellectual_and_developmental,slow
ability,mobility,crippled
ability,mobility,paraplegic
ability,mobility,paralyzed
ability,mobility,quadriplegic
ability,mobility,wheelchair-bound
ability,neurological,autistic
ability,neurological,dyslexic
ability,neurological,neuroatypical
ability,neurological,neurodivergent
ability,neurological,neurodiverse
ability,neurological,neurotypical
ability,neurological,non-neurotypical
ability,speech,aphasic
ability,speech,dumb
ability,speech,non-verbal
ability,speech,speech-impaired
ability,speech,mute
ability,visual,blind
ability,visual,four-eyed
ability,visual,low-vision
ability,visual,vision-impaired
ability,visual,visually impaired
ability,visual,glasses-wearing
ability,other_disabilities,barren
ability,other_disabilities,diabetic
ability,other_disabilities,immunocompromised
ability,unspecific,able-bodied
ability,unspecific,differently abled
ability,unspecific,disabled
ability,unspecific,handicapped
ability,unspecific,nondisabled
ability,unspecific,non-disabled
age,child,adolescent
age,child,teen
age,child,teenage
age,child,teenaged
age,young,young
age,young,younger
age,young,twenty-year-old
age,young,20-year-old
age,young,twenty-five-year-old
age,young,25-year-old
age,young,thirty-year-old
age,young,30-year-old
age,young,thirty-five-year-old
age,young,35-year-old
age,young,forty-year-old
age,young,40-year-old
age,young,twenty-something
age,young,thirty-something
age,middle_aged,forty-five-year-old
age,middle_aged,45-year-old
age,middle_aged,fifty-year-old
age,middle_aged,50-year-old
age,middle_aged,fifty-five-year-old
age,middle_aged,55-year-old
age,middle_aged,sixty-year-old
age,middle_aged,60-year-old
age,middle_aged,forty-something
age,middle_aged,fifty-something
age,middle_aged,sixty-something
age,middle_aged,middle-aged
age,old,sixty-five-year-old
age,old,65-year-old
age,old,seventy-year-old
age,old,70-year-old
age,old,seventy-five-year-old
age,old,75-year-old
age,old,eighty-year-old
age,old,80-year-old
age,old,eighty-five-year-old
age,old,85-year-old
age,old,ninety-year-old
age,old,90-year-old
age,old,ninety-five-year-old
age,old,95-year-old
age,old,seventy-something
age,old,eighty-something
age,old,ninety-something
age,old,octogenarian
age,old,nonagenarian
age,old,centenarian
age,old,older
age,old,old
age,old,elderly
age,old,retired
age,old,senior
age,old,senior-citizen
age,old,young-at-heart
age,old,spry
age,old,geriatric
age,old,mature
age,adult,adult
physical_traits,thin,bony
physical_traits,thin,dainty
physical_traits,thin,gangly
physical_traits,thin,lanky
physical_traits,thin,skinny
physical_traits,thin,slender
physical_traits,thin,slim
physical_traits,thin,svelte
physical_traits,thin,thin
physical_traits,thin,underweight
physical_traits,fit,fit
physical_traits,fit,in-shape
physical_traits,fit,muscular
physical_traits,fit,physically fit
physical_traits,fit,ripped
physical_traits,fit,swole
physical_traits,fit,toned
physical_traits,fit,well-built
physical_traits,fit,strong
physical_traits,overweight,chubby
physical_traits,overweight,chunky
physical_traits,overweight,curvy
physical_traits,overweight,fat
physical_traits,overweight,full-figured
physical_traits,overweight,heavy
physical_traits,overweight,heavyset
physical_traits,overweight,heavy-set
physical_traits,overweight,heftier
physical_traits,overweight,hefty
physical_traits,overweight,mildly overweight
physical_traits,overweight,morbidly obese
physical_traits,overweight,obese
physical_traits,overweight,overweight
physical_traits,overweight,plump
physical_traits,overweight,plus-sized
physical_traits,overweight,potbellied
physical_traits,overweight,slightly overweight
physical_traits,overweight,rotund
physical_traits,overweight,bulky
physical_traits,attractive,adorable
physical_traits,attractive,attractive
physical_traits,attractive,beautiful
physical_traits,attractive,cute
physical_traits,attractive,good-looking
physical_traits,attractive,gorgeous
physical_traits,attractive,handsome
physical_traits,attractive,hot
physical_traits,attractive,hunky
physical_traits,attractive,pretty
physical_traits,attractive,sexy
physical_traits,unattractive,homely
physical_traits,unattractive,unattractive
physical_traits,unattractive,ugly
physical_traits,unattractive,hideous
physical_traits,unattractive,plain-looking
physical_traits,large_stature,barrel-chested
physical_traits,large_stature,beefy
physical_traits,large_stature,big
physical_traits,large_stature,bigger
physical_traits,large_stature,big-boned
physical_traits,large_stature,brawny
physical_traits,large_stature,burly
physical_traits,large_stature,giant
physical_traits,large_stature,huge
physical_traits,large_stature,large
physical_traits,large_stature,large-stature
physical_traits,large_stature,larger
physical_traits,large_stature,massive
physical_traits,large_stature,stocky
physical_traits,large_stature,tall
physical_traits,large_stature,taller
physical_traits,large_stature,very tall
physical_traits,large_stature,gigantic
physical_traits,medium_stature,average-height
physical_traits,medium_stature,medium-height
physical_traits,medium_stature,medium-stature
physical_traits,small_stature,littler
physical_traits,small_stature,scrawny
physical_traits,small_stature,petite
physical_traits,small_stature,short
physical_traits,small_stature,shorter
physical_traits,small_stature,small
physical_traits,small_stature,small-stature
physical_traits,small_stature,smaller
physical_traits,small_stature,tiny
physical_traits,small_stature,vertically challenged
physical_traits,small_stature,very short
physical_traits,eye_color,blue-eyed
physical_traits,eye_color,brown-eyed
physical_traits,eye_color,green-eyed
physical_traits,eye_color,hazel-eyed
physical_traits,eye_color,gray-eyed
physical_traits,eye_color,grey-eyed
physical_traits,eye_color,amber-eyed
physical_traits,hair,bald
physical_traits,hair,bald-headed
physical_traits,hair,balding
physical_traits,hair,bearded
physical_traits,hair,black-haired
physical_traits,hair,blond
physical_traits,hair,blonde
physical_traits,hair,brown-haired
physical_traits,hair,brunette
physical_traits,hair,clean-shaven
physical_traits,hair,coily-haired
physical_traits,hair,curly-haired
physical_traits,hair,dark-haired
physical_traits,hair,dirty-blonde
physical_traits,hair,dreadlocked
physical_traits,hair,frizzy-haired
physical_traits,hair,ginger
physical_traits,hair,goateed
physical_traits,hair,gray-haired
physical_traits,hair,graying
physical_traits,hair,hairy
physical_traits,hair,kinky-haired
physical_traits,hair,light-haired
physical_traits,hair,long-haired
physical_traits,hair,mustachioed
physical_traits,hair,ponytailed
physical_traits,hair,redhead
physical_traits,hair,redheaded
physical_traits,hair,salt-and-pepper-haired
physical_traits,hair,scruffy
physical_traits,hair,shaggy
physical_traits,hair,short-haired
physical_traits,hair,silver-haired
physical_traits,hair,spiky-haired
physical_traits,hair,unshaved
physical_traits,hair,white-haired
physical_traits,hair,straight-haired
physical_traits,skin_color,brown-skinned
physical_traits,skin_color,dark-skinned
physical_traits,skin_color,light-skinned
physical_traits,skin_color,olive-skinned
physical_traits,skin_color,pale-skinned
physical_traits,miscellaneous,acne-covered
physical_traits,miscellaneous,acne-ridden
physical_traits,miscellaneous,smelly
physical_traits,miscellaneous,stinky
physical_traits,miscellaneous,out-of-shape
physical_traits,miscellaneous,well-groomed
physical_traits,miscellaneous,grungy
physical_traits,miscellaneous,scrubby
characteristics,addictions,addict
characteristics,addictions,alcohol-abusing
characteristics,addictions,alcoholic
characteristics,addictions,drug-abusing
characteristics,addictions,drug-addict
characteristics,addictions,drug-addicted
characteristics,addictions,druggie
characteristics,addictions,junkie
characteristics,children,pregnant
characteristics,children,childfree
characteristics,children,childless
characteristics,domestic_status,homeless
characteristics,domestic_status,houseless
characteristics,domestic_status,unhoused
characteristics,domestic_status,nomadic
characteristics,domestic_status,orphan
characteristics,domestic_status,adopted
characteristics,handedness,ambidextrous
characteristics,handedness,left-handed
characteristics,handedness,right-handed
characteristics,immigration_status,alien
characteristics,immigration_status,American-born
characteristics,immigration_status,asylum-seeking
characteristics,immigration_status,foreign
characteristics,immigration_status,foreign-born
characteristics,immigration_status,immigrant
characteristics,immigration_status,native
characteristics,immigration_status,native-born
characteristics,immigration_status,naturalized
characteristics,immigration_status,non-native
characteristics,immigration_status,nonnative
characteristics,immigration_status,refugee
characteristics,immigration_status,stateless
characteristics,immigration_status,undocumented
characteristics,immigration_status,US-born
characteristics,job_status,blue-collar
characteristics,job_status,employed
characteristics,job_status,laid-off
characteristics,job_status,professional
characteristics,job_status,homemaker
characteristics,job_status,stay-at-home
characteristics,job_status,underemployed
characteristics,job_status,unemployed
characteristics,job_status,white-collar
characteristics,job_status,half-timer
characteristics,job_status,part-timer
characteristics,job_status,casual worker
characteristics,job_status,gig worker
characteristics,job_status,independently wealthy
characteristics,marital_status,divorced
characteristics,marital_status,married
characteristics,marital_status,separated
characteristics,marital_status,single
characteristics,marital_status,unattached
characteristics,marital_status,affianced
characteristics,marital_status,engaged
characteristics,marital_status,unmarried
characteristics,marital_status,widowed
characteristics,marital_status,partnered
characteristics,marital_status,available
characteristics,miscellaneous,athletic
characteristics,miscellaneous,unathletic
characteristics,miscellaneous,active
characteristics,miscellaneous,inactive
characteristics,miscellaneous,sedentary
characteristics,miscellaneous,literate
characteristics,miscellaneous,illiterate
cultural,generations,Greatest Generation
cultural,generations,Baby Boomer
cultural,generations,Boomer
cultural,generations,Gen-X
cultural,generations,Millennial
cultural,generations,Gen-Z
cultural,generations,Zoomer
cultural,cultural_descriptors,bougie
cultural,cultural_descriptors,goth
cultural,cultural_descriptors,hillbilly
cultural,cultural_descriptors,hippie
cultural,cultural_descriptors,hippy
cultural,cultural_descriptors,hipster
cultural,cultural_descriptors,redneck
cultural,cultural_descriptors,yuppie
cultural,cultural_descriptors,underprivileged
cultural,cultural_descriptors,at-risk
cultural,cultural_descriptors,marginalized
cultural,cultural_descriptors,underserved
cultural,cultural_descriptors,privileged
cultural,cultural_descriptors,elite
cultural,cultural_descriptors,entitled
cultural,cultural_descriptors,NIMBY
cultural,cultural_descriptors,cosmopolitan
cultural,cultural_descriptors,urban
cultural,cultural_descriptors,rural
cultural,cultural_descriptors,country
cultural,cultural_descriptors,pro-vaccine
cultural,cultural_descriptors,anti-vaccine
cultural,cultural_descriptors,anti-vax
cultural,cultural_descriptors,vaccine-hesitant
cultural,cultural_descriptors,pro-choice
cultural,cultural_descriptors,pro-life
gender_and_sex,binary,female
gender_and_sex,binary,male
gender_and_sex,binary,gender-conforming
gender_and_sex,cisgender,cis
gender_and_sex,cisgender,cisgender
gender_and_sex,descriptors,AFAB
gender_and_sex,descriptors,AMAB
gender_and_sex,descriptors,androgynous
gender_and_sex,descriptors,butch
gender_and_sex,descriptors,effeminate
gender_and_sex,descriptors,feminine
gender_and_sex,descriptors,femme
gender_and_sex,descriptors,fruitcake
gender_and_sex,descriptors,fruity
gender_and_sex,descriptors,macho
gender_and_sex,descriptors,manly
gender_and_sex,descriptors,masculine
gender_and_sex,descriptors,womanly
gender_and_sex,non_binary_or_gnc,agender
gender_and_sex,non_binary_or_gnc,androgyne
gender_and_sex,non_binary_or_gnc,bigender
gender_and_sex,non_binary_or_gnc,boi
gender_and_sex,non_binary_or_gnc,demiboy
gender_and_sex,non_binary_or_gnc,demigender
gender_and_sex,non_binary_or_gnc,demigirl
gender_and_sex,non_binary_or_gnc,enby
gender_and_sex,non_binary_or_gnc,feminine-of-center
gender_and_sex,non_binary_or_gnc,FoC
gender_and_sex,non_binary_or_gnc,gender neutral
gender_and_sex,non_binary_or_gnc,gender non-conforming
gender_and_sex,non_binary_or_gnc,genderfluid
gender_and_sex,non_binary_or_gnc,genderless
gender_and_sex,non_binary_or_gnc,genderqueer
gender_and_sex,non_binary_or_gnc,masculine-of-center
gender_and_sex,non_binary_or_gnc,MoC
gender_and_sex,non_binary_or_gnc,neutrois
gender_and_sex,non_binary_or_gnc,nonbinary
gender_and_sex,non_binary_or_gnc,non-binary
gender_and_sex,non_binary_or_gnc,stud
gender_and_sex,non_binary_or_gnc,third-gender
gender_and_sex,non_binary_or_gnc,tomboy
gender_and_sex,non_binary_or_gnc,two-spirit
gender_and_sex,queer,LGBT
gender_and_sex,queer,LGBTQ
gender_and_sex,queer,LGBTQ+
gender_and_sex,queer,queer
gender_and_sex,sex,hermaphrodite
gender_and_sex,sex,intersex
gender_and_sex,sex,endosex
gender_and_sex,sex,transsexual
gender_and_sex,transgender,FTM
gender_and_sex,transgender,F2M
gender_and_sex,transgender,MTF
gender_and_sex,transgender,M2F
gender_and_sex,transgender,trans
gender_and_sex,transgender,trans female
gender_and_sex,transgender,trans feminine
gender_and_sex,transgender,trans fem
gender_and_sex,transgender,trans femme
gender_and_sex,transgender,trans male
gender_and_sex,transgender,trans masculine
gender_and_sex,transgender,trans masc
gender_and_sex,transgender,transfeminine
gender_and_sex,transgender,transgender
gender_and_sex,transgender,transmasculine
nationality,china,Chinese
nationality,china,Chinese-American
nationality,china,American-Born Chinese
nationality,cuba,Cuban
nationality,cuba,Cuban-American
nationality,dominican_republic,Dominican
nationality,dominican_republic,Dominican-American
nationality,el_salvador,Salvadoran
nationality,el_salvador,Salvadoran-American
nationality,guatemala,Guatemalan
nationality,guatemala,Guatemalan-American
nationality,india,Indian
nationality,india,Indian-American
nationality,mexico,Mexican
nationality,mexico,Mexican-American
nationality,mexico,Chicana
nationality,mexico,Chicano
nationality,philippines,Filipina
nationality,philippines,Filipina-American
nationality,philippines,Filipino
nationality,philippines,Filipino-American
nationality,south_korea,Korean
nationality,south_korea,Korean-American
nationality,united_states,American
nationality,vietnam,Vietnamese
nationality,vietnam,Vietnamese-American
other,all,blicket
other,all,stad
other,all,mell
other,all,coodle
other,all,doff
other,all,tannin
other,all,fitch
other,all,tulver
political_ideologies,all,liberal
political_ideologies,all,conservative
political_ideologies,all,Democrat
political_ideologies,all,Republican
political_ideologies,all,leftist
political_ideologies,all,rightist
political_ideologies,all,left-wing
political_ideologies,all,right-wing
political_ideologies,all,socially liberal
political_ideologies,all,fiscally conservative
political_ideologies,all,democratic-socialist
political_ideologies,all,centrist
political_ideologies,all,independent
political_ideologies,all,moderate
political_ideologies,all,libertarian
political_ideologies,all,socialist
political_ideologies,all,communist
political_ideologies,all,progressive
political_ideologies,all,radical
political_ideologies,all,nationalist
political_ideologies,all,apolitical
political_ideologies,all,anarchist
political_ideologies,all,extremist
race_ethnicity_color,alaska_native,Alaska Native
