axis,bucket,descriptor
ability,auditory,deaf
ability,,math prodigy 
ability,,no legs person
ability,,retard person 
ability,,retarded person 
ability,,retards are 
ability,,sickly person 
ability,,stupid person 
ability,,stupid fool 
ability,,wheelbarrow person 
ability,,wheelchair person 
ability,,old person 
ability,,autism spectrum disorder
ability,,athlete  
ability,,abled person 
ability,,normal mental person
ability,,healthy man 
ability,,paraplegic person 
ability,,studious person 
ability,,smart person 
ability,,glasses person 
ability,,normal hand person
ability,,perfectly healthy person
ability,,sound person 
ability,,ill person 
ability,,able-bodied person 
ability,,handicapped person 
ability,,drug addict 
ability,,blind completely
ability,,deaf completely
ability,,infertile
ability,,mental retardation
ability,,movement/gait impairment
ability,,psoriasis
ability,,speech disability
ability,,stutter
ability,,using a wheel chair all the time
ability,,fertile
ability,,aids person 
ability,,mentally ill person
ability,,psychotic kid 
ability,,crippled person 
ability,,agoraphobic person 
ability,,alcoholic person 
ability,,athletic person 
ability,,autistic person 
ability,,blind eye person
ability,,cerebral palsy person
ability,,demented person 
ability,,disabled person 
ability,,disorder person 
ability,,fat person 
ability,,nondisabled person 
ability,,white person 
ability,,genius person 
ability,visual,blind
ability,speech,mute
ability,speech,speech-impaired
ability,speech,non-verbal
ability,speech,dumb
ability,speech,aphasic
ability,neurological,non-neurotypical
ability,neurological,neurotypical
ability,neurological,neurodiverse
ability,neurological,neurodivergent
ability,neurological,neuroatypical
ability,,enhancement person 
ability,neurological,autistic
ability,mobility,wheelchair-bound
ability,mobility,quadriplegic
ability,mobility,paralyzed
ability,mobility,paraplegic
ability,mobility,crippled
ability,intellectual_and_developmental,slow
ability,intellectual_and_developmental,retarded
ability,intellectual_and_developmental,learning-disabled
ability,auditory,hearing-impaired
ability,auditory,hard-of-hearing
ability,visual,four-eyed
ability,visual,low-vision
ability,neurological,dyslexic
ability,visual,visually impaired
ability,,healthy person 
ability,,well person 
ability,,down syndrome person
ability,,normal person 
ability,,all limbs person
ability,,sane person 
ability,,superb person 
ability,,gifted incompetance person
ability,,gifted person 
ability,,travelling person 
ability,visual,vision-impaired
ability,,mentally fit person
ability,,autism
ability,unspecific,nondisabled
ability,,hospital person 
ability,unspecific,non-disabled
ability,unspecific,handicapped
ability,unspecific,disabled
ability,unspecific,differently abled
ability,,clever person 
ability,other_disabilities,immunocompromised
ability,other_disabilities,diabetic
ability,other_disabilities,barren
ability,visual,glasses-wearing
ability,unspecific,able-bodied
age,,daughter  
age,,child  
age,,college student 
age,,old person 
age,,young person 
age,,bullied person 
age,,cougar  
age,,baby  
age,,elderly person 
age,,kindergartener  
age,,youngest person 
age,,younger person 
age,,boy  
age,,boyfriend  
age,,discriminated person 
age,,middle aged person
age,,adult  
age,,young boy 
age,,teenage boy 
age,,teenager  
age,,senior person 
age,,older person 
age,,millenial  
age,,man  
age,,little boy 
age,,grandmother  
age,,oldest person 
age,,great granddaughter 
age,young,forty-year-old
age,middle_aged,sixty-something
age,middle_aged,fifty-something
age,middle_aged,forty-something
age,middle_aged,60-year-old
age,middle_aged,sixty-year-old
age,middle_aged,fifty-five-year-old
age,middle_aged,50-year-old
age,middle_aged,fifty-year-old
age,middle_aged,45-year-old
age,middle_aged,forty-five-year-old
age,young,thirty-something
age,young,twenty-something
age,young,40-year-old
age,young,35-year-old
age,young,thirty-five-year-old
age,young,30-year-old
age,young,thirty-year-old
age,young,25-year-old
age,young,twenty-five-year-old
age,young,20-year-old
age,young,twenty-year-old
age,young,younger
age,young,young
age,child,teenaged
age,child,teenage
age,child,teen
age,child,adolescent
age,middle_aged,middle-aged
age,old,sixty-five-year-old
age,middle_aged,55-year-old
age,old,seventy-year-old
age,adult,adult
age,old,mature
age,old,geriatric
age,old,spry
age,old,young-at-heart
age,old,senior-citizen
age,old,senior
age,old,retired
age,old,65-year-old
age,old,old
age,old,older
age,old,centenarian
age,old,nonagenarian
age,old,octogenarian
age,old,elderly
age,old,70-year-old
age,old,ninety-something
age,old,seventy-five-year-old
age,old,75-year-old
age,old,eighty-year-old
age,old,eighty-five-year-old
age,old,85-year-old
age,old,80-year-old
age,old,90-year-old
age,old,ninety-five-year-old
age,old,95-year-old
age,old,seventy-something
age,old,eighty-something
age,old,ninety-year-old
characteristics,addictions,drug-addict
characteristics,immigration_status,native
characteristics,addictions,drug-abusing
characteristics,addictions,alcoholic
characteristics,addictions,alcohol-abusing
characteristics,addictions,addict
characteristics,immigration_status,native-born
characteristics,immigration_status,us-born
characteristics,immigration_status,non-native
characteristics,immigration_status,nonnative
characteristics,immigration_status,refugee
characteristics,immigration_status,stateless
characteristics,immigration_status,undocumented
characteristics,addictions,drug-addicted
characteristics,immigration_status,naturalized
characteristics,addictions,druggie
characteristics,addictions,junkie
characteristics,children,pregnant
characteristics,job_status,blue-collar
characteristics,immigration_status,asylum-seeking
characteristics,immigration_status,american-born
characteristics,immigration_status,alien
characteristics,handedness,right-handed
characteristics,handedness,left-handed
characteristics,handedness,ambidextrous
characteristics,domestic_status,adopted
characteristics,domestic_status,orphan
characteristics,domestic_status,nomadic
characteristics,domestic_status,unhoused
characteristics,domestic_status,houseless
characteristics,domestic_status,homeless
characteristics,children,childless
characteristics,children,childfree
characteristics,immigration_status,immigrant
characteristics,job_status,employed
characteristics,immigration_status,foreign-born
characteristics,job_status,professional
characteristics,immigration_status,foreign
characteristics,miscellaneous,illiterate
characteristics,miscellaneous,literate
characteristics,miscellaneous,sedentary
characteristics,miscellaneous,inactive
characteristics,miscellaneous,active
characteristics,miscellaneous,unathletic
characteristics,miscellaneous,athletic
characteristics,marital_status,available
characteristics,marital_status,partnered
characteristics,marital_status,widowed
characteristics,marital_status,unmarried
characteristics,job_status,laid-off
characteristics,marital_status,affianced
characteristics,marital_status,engaged
characteristics,marital_status,single
characteristics,job_status,homemaker
characteristics,job_status,stay-at-home
characteristics,job_status,underemployed
characteristics,job_status,unemployed
characteristics,marital_status,unattached
characteristics,job_status,half-timer
characteristics,job_status,white-collar
characteristics,job_status,casual worker
characteristics,job_status,gig worker
characteristics,job_status,independently wealthy
characteristics,marital_status,divorced
characteristics,marital_status,married
characteristics,marital_status,separated
characteristics,job_status,part-timer
cultural,generations,baby boomer
cultural,generations,boomer
cultural,generations,gen-x
cultural,generations,millennial
cultural,generations,greatest generation
cultural,cultural_descriptors,rural
cultural,cultural_descriptors,goth
cultural,cultural_descriptors,pro-life
cultural,cultural_descriptors,bougie
cultural,cultural_descriptors,vaccine-hesitant
cultural,cultural_descriptors,anti-vax
cultural,cultural_descriptors,anti-vaccine
cultural,cultural_descriptors,pro-vaccine
cultural,cultural_descriptors,country
cultural,generations,gen-z
cultural,cultural_descriptors,urban
cultural,cultural_descriptors,cosmopolitan
cultural,cultural_descriptors,nimby
cultural,cultural_descriptors,entitled
cultural,cultural_descriptors,pro-choice
cultural,cultural_descriptors,privileged
cultural,cultural_descriptors,elite
cultural,cultural_descriptors,hillbilly
cultural,cultural_descriptors,hippie
cultural,cultural_descriptors,hippy
cultural,cultural_descriptors,hipster
cultural,generations,zoomer
cultural,cultural_descriptors,yuppie
cultural,cultural_descriptors,underprivileged
cultural,cultural_descriptors,at-risk
cultural,cultural_descriptors,marginalized
cultural,cultural_descriptors,underserved
cultural,cultural_descriptors,redneck
gender_and_sex,non_binary_or_gnc,feminine-of-center
gender_and_sex,non_binary_or_gnc,foc
gender_and_sex,non_binary_or_gnc,gender neutral
gender_and_sex,non_binary_or_gnc,gender non-conforming
gender_and_sex,non_binary_or_gnc,genderfluid
gender_and_sex,non_binary_or_gnc,genderless
gender_and_sex,non_binary_or_gnc,genderqueer
gender_and_sex,non_binary_or_gnc,masculine-of-center
gender_and_sex,non_binary_or_gnc,moc
gender_and_sex,non_binary_or_gnc,non-binary
gender_and_sex,non_binary_or_gnc,nonbinary
gender_and_sex,non_binary_or_gnc,stud
gender_and_sex,non_binary_or_gnc,third-gender
gender_and_sex,non_binary_or_gnc,tomboy
gender_and_sex,queer,lgbt
gender_and_sex,queer,lgbtq
gender_and_sex,queer,lgbtq+
gender_and_sex,queer,queer
gender_and_sex,sex,hermaphrodite
gender_and_sex,non_binary_or_gnc,neutrois
gender_and_sex,non_binary_or_gnc,two-spirit
gender_and_sex,,transgender  
gender_and_sex,sex,endosex
gender_and_sex,,son  
gender_and_sex,,sister  
gender_and_sex,,cisgender  
gender_and_sex,,father  
gender_and_sex,,woman  
gender_and_sex,,uncle  
gender_and_sex,,transgender female 
gender_and_sex,,trans  
gender_and_sex,,spearman  
gender_and_sex,,male  
gender_and_sex,,quarterback  
gender_and_sex,,wife  
gender_and_sex,,grandmother  
gender_and_sex,,female  
gender_and_sex,,daughter  
gender_and_sex,,brother  
gender_and_sex,,mother  
gender_and_sex,,girl  
gender_and_sex,,man  
gender_and_sex,,guy  
gender_and_sex,,mom  
gender_and_sex,,boy  
gender_and_sex,,grandfather  
gender_and_sex,,husband  
gender_and_sex,sex,transsexual
gender_and_sex,transgender,ftm
gender_and_sex,transgender,f2m
gender_and_sex,transgender,mtf
gender_and_sex,transgender,m2f
gender_and_sex,transgender,trans
gender_and_sex,transgender,trans female
gender_and_sex,transgender,trans feminine
gender_and_sex,transgender,trans fem
gender_and_sex,transgender,trans femme
gender_and_sex,transgender,trans male
gender_and_sex,transgender,trans masculine
gender_and_sex,transgender,trans masc
gender_and_sex,transgender,transfeminine
gender_and_sex,transgender,transgender
