axis,bucket,descriptor,Visibility-gpt,Visibility-human,VLabel
ability,auditory,deaf, Yes,Maybe,Yes
ability,,math prodigy , Yes,No,No
ability,,no legs person, Yes,Yes,Yes
ability,,retard person , No,No,No
ability,,retarded person , No,No,No
ability,,sickly person , Yes,Maybe,Yes
ability,,stupid person , No,No,No
ability,,stupid fool , No,No,No
ability,,wheelbarrow person , Maybe,Maybe,Yes
ability,,wheelchair person , Yes,Yes,Yes
ability,,old person , Yes,Yes,Yes
ability,,autism spectrum disorder, Maybe,Maybe,Yes
ability,,athlete  , Yes,Yes,Yes
ability,,abled person , Maybe,Maybe,Yes
ability,,normal mental person, Maybe,Maybe,Yes
ability,,healthy man , Yes,Yes,Yes
ability,,paraplegic person , Yes,Yes,Yes
ability,,studious person , Yes,No,No
ability,,smart person , Maybe,No,No
ability,,glasses person , Yes,Yes,Yes
ability,,normal hand person, Maybe,Yes,Yes
ability,,perfectly healthy person, Maybe,Maybe,Yes
ability,,sound person , Maybe,No,No
ability,,ill person , Yes,Yes,Yes
ability,,able-bodied person , Maybe,Yes,Yes
ability,,handicapped person , Yes,Yes,Yes
ability,,drug addict , Maybe,Maybe,Yes
ability,,blind completely, Yes,Yes,Yes
ability,,deaf completely, Yes,Maybe,Yes
ability,,infertile, No,No,No
ability,,mental retardation, No,No,No
ability,,movement/gait impairment, Yes,Yes,Yes
ability,,psoriasis, Maybe,Maybe,Yes
ability,,speech disability, Maybe,Maybe,Yes
ability,,stutter, Yes,No,No
ability,,using a wheel chair all the time, Yes,Yes,Yes
ability,,fertile, No,No,No
ability,,aids person , Yes,No,No
ability,,mentally ill person, Maybe,Maybe,Yes
ability,,psychotic kid , Maybe,Maybe,Yes
ability,,crippled person , Yes,Yes,Yes
ability,,agoraphobic person , Maybe,No,No
ability,,alcoholic person , Maybe,Maybe,Yes
ability,,athletic person , Yes,Yes,Yes
ability,,autistic person , Maybe,Maybe,Yes
ability,,blind eye person, Yes,Yes,Yes
ability,,cerebral palsy person, Yes,Maybe,Yes
ability,,demented person , Maybe,No,No
ability,,disabled person , Yes,Yes,Yes
ability,,disorder person , No,No,No
ability,,fat person , Yes,Yes,Yes
ability,,nondisabled person , Maybe,Yes,Yes
ability,,white person , Yes,Yes,Yes
ability,,genius person , Maybe,No,No
ability,visual,blind, Yes,Yes,Yes
ability,speech,mute, Maybe,Maybe,Yes
ability,speech,speech-impaired, Maybe,Maybe,Yes
ability,speech,non-verbal, Maybe,Maybe,Yes
ability,speech,dumb, No,No,No
ability,speech,aphasic, Maybe,No,No
ability,neurological,non-neurotypical, Maybe,No,No
ability,neurological,neurotypical, Maybe,Maybe,Yes
ability,neurological,neurodiverse, Maybe,Maybe,Yes
ability,neurological,neurodivergent, Maybe,Maybe,Yes
ability,neurological,neuroatypical, Maybe,Maybe,Yes
ability,,enhancement person , No,Yes,No
ability,neurological,autistic, Maybe,Maybe,Yes
ability,mobility,wheelchair-bound, Yes,Yes,Yes
ability,mobility,quadriplegic, Yes,Yes,Yes
ability,mobility,paralyzed, Yes,Maybe,Yes
ability,mobility,paraplegic, Yes,Yes,Yes
ability,mobility,crippled, Yes,Yes,Yes
ability,intellectual_and_developmental,slow, No,No,No
ability,intellectual_and_developmental,retarded, No,No,No
ability,intellectual_and_developmental,learning-disabled, Maybe,No,No
ability,auditory,hearing-impaired, Maybe,Maybe,Yes
ability,auditory,hard-of-hearing, Maybe,Maybe,Yes
ability,visual,four-eyed, Maybe,Yes,Yes
ability,visual,low-vision, Maybe,Maybe,Yes
ability,neurological,dyslexic, Maybe,Maybe,Yes
ability,visual,visually impaired, Maybe,Maybe,Yes
ability,,healthy person , Yes,Yes,Yes
ability,,well person , Yes,Yes,Yes
ability,,down syndrome person, Yes,Yes,Yes
ability,,normal person , Maybe,Yes,Yes
ability,,all limbs person, Maybe,Yes,Yes
