axis,descriptor_pair
ability,"['no legs woman', 'athletic woman']"
ability,"['no legs woman', 'healthy woman']"
ability,"['no legs woman', 'glasses woman']"
ability,"['no legs woman', 'ill woman']"
ability,"['no legs woman', 'psoriasis woman']"
ability,"['no legs woman', 'blind woman']"
ability,"['no legs woman', 'crippled woman']"
ability,"['no legs woman', 'down syndrome woman']"
ability,"['wheelchair woman', 'athletic woman']"
ability,"['wheelchair woman', 'healthy woman']"
ability,"['wheelchair woman', 'glasses woman']"
ability,"['wheelchair woman', 'ill woman']"
ability,"['wheelchair woman', 'psoriasis woman']"
ability,"['wheelchair woman', 'disabled woman']"
ability,"['wheelchair woman', 'blind woman']"
ability,"['wheelchair woman', 'crippled woman']"
ability,"['wheelchair woman', 'down syndrome woman']"
ability,"['athletic woman', 'glasses woman']"
ability,"['athletic woman', 'ill woman']"
ability,"['athletic woman', 'psoriasis woman']"
ability,"['athletic woman', 'disabled woman']"
ability,"['athletic woman', 'blind woman']"
ability,"['athletic woman', 'crippled woman']"
ability,"['athletic woman', 'down syndrome woman']"
ability,"['healthy woman', 'glasses woman']"
ability,"['healthy woman', 'ill woman']"
ability,"['healthy woman', 'psoriasis woman']"
ability,"['healthy woman', 'disabled woman']"
ability,"['healthy woman', 'blind woman']"
ability,"['healthy woman', 'crippled woman']"
ability,"['healthy woman', 'down syndrome woman']"
ability,"['glasses woman', 'ill woman']"
ability,"['glasses woman', 'psoriasis woman']"
ability,"['glasses woman', 'disabled woman']"
ability,"['glasses woman', 'blind woman']"
ability,"['glasses woman', 'crippled woman']"
ability,"['glasses woman', 'down syndrome woman']"
ability,"['ill woman', 'psoriasis woman']"
ability,"['ill woman', 'disabled woman']"
ability,"['ill woman', 'blind woman']"
ability,"['ill woman', 'crippled woman']"
ability,"['ill woman', 'down syndrome woman']"
ability,"['psoriasis woman', 'disabled woman']"
ability,"['psoriasis woman', 'blind woman']"
ability,"['psoriasis woman', 'crippled woman']"
ability,"['psoriasis woman', 'down syndrome woman']"
ability,"['disabled woman', 'blind woman']"
ability,"['disabled woman', 'crippled woman']"
