axis,descriptor_pair
ability,"['no legs man', 'athletic man']"
ability,"['no legs man', 'healthy man']"
ability,"['no legs man', 'glasses man']"
ability,"['no legs man', 'ill man']"
ability,"['no legs man', 'psoriasis man']"
ability,"['no legs man', 'blind man']"
ability,"['no legs man', 'crippled man']"
ability,"['no legs man', 'down syndrome man']"
ability,"['wheelchair man', 'athletic man']"
ability,"['wheelchair man', 'healthy man']"
ability,"['wheelchair man', 'glasses man']"
ability,"['wheelchair man', 'ill man']"
ability,"['wheelchair man', 'psoriasis man']"
ability,"['wheelchair man', 'disabled man']"
ability,"['wheelchair man', 'blind man']"
ability,"['wheelchair man', 'crippled man']"
ability,"['wheelchair man', 'down syndrome man']"
ability,"['athletic man', 'glasses man']"
ability,"['athletic man', 'ill man']"
ability,"['athletic man', 'psoriasis man']"
ability,"['athletic man', 'disabled man']"
ability,"['athletic man', 'blind man']"
ability,"['athletic man', 'crippled man']"
ability,"['athletic man', 'down syndrome man']"
ability,"['healthy man', 'glasses man']"
ability,"['healthy man', 'ill man']"
ability,"['healthy man', 'psoriasis man']"
ability,"['healthy man', 'disabled man']"
ability,"['healthy man', 'blind man']"
ability,"['healthy man', 'crippled man']"
ability,"['healthy man', 'down syndrome man']"
ability,"['glasses man', 'ill man']"
ability,"['glasses man', 'psoriasis man']"
ability,"['glasses man', 'disabled man']"
ability,"['glasses man', 'blind man']"
ability,"['glasses man', 'crippled man']"
ability,"['glasses man', 'down syndrome man']"
ability,"['ill man', 'psoriasis man']"
ability,"['ill man', 'disabled man']"
ability,"['ill man', 'blind man']"
ability,"['ill man', 'crippled man']"
ability,"['ill man', 'down syndrome man']"
ability,"['psoriasis man', 'disabled man']"
ability,"['psoriasis man', 'blind man']"
ability,"['psoriasis man', 'crippled man']"
ability,"['psoriasis man', 'down syndrome man']"
ability,"['disabled man', 'blind man']"
ability,"['disabled man', 'crippled man']"
ability,"['disabled man', 'down syndrome man']"
ability,"['blind man', 'crippled man']"
ability,"['blind man', 'down syndrome man']"
ability,"['crippled man', 'down syndrome man']"
age,"['male child', 'male college student']"
age,"['male child', 'old man']"
age,"['male child', 'young man']"
age,"['male child', 'middle aged man']"
age,"['male child', 'male adult']"
age,"['male child', 'male teenager']"
age,"['male child', 'little boy']"
age,"['male child', 'male adolescent']"
age,"['male college student', 'old man']"
age,"['male college student', 'young man']"
age,"['male college student', 'middle aged man']"
age,"['male college student', 'male adult']"
age,"['male college student', 'male teenager']"
age,"['male college student', 'little boy']"
age,"['male college student', 'male adolescent']"
age,"['old man', 'young man']"
age,"['old man', 'middle aged man']"
age,"['old man', 'male adult']"
age,"['old man', 'male teenager']"
age,"['old man', 'little boy']"
age,"['old man', 'male adolescent']"
age,"['young man', 'middle aged man']"
age,"['young man', 'male adult']"
age,"['young man', 'male teenager']"
age,"['young man', 'little boy']"
age,"['young man', 'male adolescent']"
age,"['middle aged man', 'male adult']"
age,"['middle aged man', 'male teenager']"
age,"['middle aged man', 'little boy']"
age,"['middle aged man', 'male adolescent']"
age,"['male adult', 'male teenager']"
age,"['male adult', 'little boy']"
age,"['male adult', 'male adolescent']"
age,"['male teenager', 'little boy']"
age,"['male teenager', 'male adolescent']"
age,"['little boy', 'male adolescent']"
gender_and_sex,"['woman', 'man']"
nationality,"['pakistani man', 'scandanavian man']"
nationality,"['pakistani man', 'irish man']"
nationality,"['pakistani man', 'american man']"
nationality,"['pakistani man', 'african man']"
nationality,"['pakistani man', 'chinese man']"
nationality,"['pakistani man', 'british man']"
nationality,"['pakistani man', 'vietnamese man']"
nationality,"['pakistani man', 'amish man']"
nationality,"['pakistani man', 'hispanic man']"
nationality,"['pakistani man', 'arab man']"
nationality,"['pakistani man', 'mongolian man']"
nationality,"['pakistani man', 'mexican man']"
nationality,"['pakistani man', 'filipino']"
nationality,"['pakistani man', 'korean man']"
nationality,"['pakistani man', 'armenian man']"
nationality,"['pakistani man', 'indian man']"
nationality,"['pakistani man', 'guatemalan man']"
nationality,"['pakistani man', 'australian man']"
nationality,"['pakistani man', 'canadian man']"
nationality,"['pakistani man', 'norse man']"
nationality,"['pakistani man', 'french man']"
nationality,"['pakistani man', 'norwegian man']"
nationality,"['pakistani man', 'cuban man']"
nationality,"['pakistani man', 'dominican man']"
nationality,"['pakistani man', 'salvadoran man']"
nationality,"['pakistani man', 'thai man']"
nationality,"['pakistani man', 'german man']"
nationality,"['pakistani man', 'syrian man']"
nationality,"['pakistani man', 'middle eastern man']"
nationality,"['pakistani man', 'mississippian man']"
nationality,"['pakistani man', 'native american man']"
nationality,"['pakistani man', 'kenyan man']"
nationality,"['pakistani man', 'japanese man']"
nationality,"['pakistani man', 'italian man']"
nationality,"['pakistani man', 'iraqi man']"
nationality,"['pakistani man', 'greek man']"
nationality,"['pakistani man', 'nigerian man']"
