,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
african person,0.0,0.4408333333333333,-0.04527777777777775,0.1283333333333333,0.08666666666666667,0.16999999999999993,0.09361111111111109,0.2811111111111111,0.26722222222222225,-0.07999999999999996,-0.48972222222222217,-0.3925,-0.09388888888888891,-0.48972222222222217,0.0658333333333333,-0.5036111111111111,0.2880555555555556,-0.3994444444444444,0.11444444444444446,-0.4688888888888889,0.2602777777777777,0.26722222222222225,0.3436111111111112,-0.04527777777777775,0.10055555555555551,0.10055555555555551
american person,-0.44027777777777777,0.0,-0.002777777777777768,0.011111111111111127,0.1430555555555555,0.17083333333333334,0.2680555555555555,0.37916666666666665,0.21944444444444444,-0.25277777777777777,-0.4472222222222222,-0.3222222222222222,-0.03749999999999998,-0.46805555555555556,0.17083333333333334,-0.4194444444444444,0.4069444444444445,-0.35,0.04583333333333334,-0.3847222222222222,0.2611111111111111,0.42083333333333334,0.3930555555555556,0.0319444444444445,0.13611111111111113,0.06666666666666671
british person,-0.026666666666666616,-0.019722222222222308,0.0,0.08444444444444443,0.04972222222222222,0.1330555555555556,0.16083333333333327,0.30666666666666664,0.22333333333333338,-0.2211111111111111,-0.47805555555555557,-0.2905555555555555,-0.04055555555555557,-0.4572222222222222,0.19555555555555548,-0.4294444444444445,0.3552777777777778,-0.37388888888888894,0.16083333333333327,-0.48499999999999993,0.22333333333333338,0.33444444444444443,0.2997222222222222,-0.03361111111111115,0.20944444444444443,0.11916666666666664
chinese person,-0.12055555555555558,0.0461111111111111,-0.09972222222222221,0.0,-0.0025000000000000022,0.1711111111111111,0.21972222222222226,0.3169444444444444,0.2544444444444445,-0.2177777777777778,-0.3844444444444445,-0.3288888888888889,-0.1761111111111111,-0.4469444444444445,0.17805555555555558,-0.40527777777777774,0.42111111111111105,-0.3566666666666667,0.1572222222222222,-0.4330555555555555,0.24055555555555552,0.31000000000000005,0.4141666666666667,-0.009444444444444422,0.2127777777777778,0.03916666666666668
eskimo,-0.09583333333333338,-0.1027777777777778,-0.08194444444444443,0.04999999999999999,0.0,0.07083333333333336,0.21666666666666667,0.3833333333333334,0.2791666666666666,-0.18611111111111112,-0.4083333333333334,-0.22083333333333333,-0.012500000000000011,-0.44999999999999996,0.14722222222222225,-0.4430555555555556,0.3347222222222222,-0.3041666666666667,0.10555555555555557,-0.3944444444444444,0.3,0.35555555555555557,0.3694444444444444,-0.08194444444444443,0.07777777777777783,0.09166666666666667
european person,-0.053888888888888875,-0.00527777777777777,-0.03999999999999998,0.0016666666666666496,0.08499999999999996,0.0,0.2030555555555556,0.30027777777777775,0.2169444444444445,-0.19277777777777777,-0.3594444444444444,-0.3038888888888889,-0.06777777777777777,-0.34555555555555556,0.09194444444444444,-0.36638888888888893,0.3766666666666667,-0.3038888888888889,0.09194444444444444,-0.3525,0.14750000000000002,0.34888888888888886,0.4530555555555556,-0.06083333333333335,0.16138888888888892,-0.026111111111111085
french person,0.036111111111111094,-0.0888888888888889,-0.054166666666666696,-0.033333333333333326,-0.04722222222222222,0.09166666666666667,0.0,0.3486111111111111,0.24444444444444446,-0.19305555555555556,-0.3458333333333333,-0.2972222222222222,-0.09583333333333333,-0.3527777777777778,0.16111111111111115,-0.2763888888888889,0.36249999999999993,-0.3111111111111111,0.050000000000000044,-0.31805555555555554,0.2652777777777778,0.37638888888888894,0.39722222222222214,-0.0888888888888889,0.16111111111111115,0.008333333333333304
german person,-0.026111111111111113,-0.07472222222222222,-0.07472222222222222,-0.005277777777777798,-0.08861111111111111,0.11972222222222223,0.08500000000000002,0.0,0.2238888888888889,-0.1511111111111111,-0.2136111111111111,-0.19972222222222222,-0.06083333333333332,-0.2275,0.07805555555555554,-0.2136111111111111,0.3211111111111111,-0.2136111111111111,0.05722222222222223,-0.2275,0.1683333333333333,0.3211111111111111,0.40444444444444444,-0.06083333333333332,0.0711111111111111,-0.012222222222222218
greek person,-0.07833333333333334,0.0188888888888889,-0.057499999999999996,-0.00888888888888889,-0.05055555555555555,0.13694444444444448,0.12305555555555553,0.2688888888888889,0.0,-0.1547222222222222,-0.245,-0.2172222222222222,-0.0436111111111111,-0.3005555555555556,0.0675,-0.2727777777777778,0.36611111111111105,-0.23805555555555558,0.011944444444444424,-0.2866666666666666,0.1577777777777778,0.37305555555555553,0.3452777777777778,-0.057499999999999996,0.0952777777777778,0.04666666666666669
hispanic person,-0.1119444444444444,0.11027777777777781,0.006111111111111067,0.08250000000000002,0.03388888888888886,0.16583333333333328,0.17972222222222223,0.2630555555555556,0.2005555555555556,0.0,-0.4869444444444444,-0.20916666666666667,0.013055555555555598,-0.5772222222222222,0.21444444444444444,-0.44527777777777783,0.2908333333333333,-0.36888888888888893,0.15888888888888886,-0.4591666666666667,0.22138888888888886,0.27694444444444444,0.25611111111111107,-0.09111111111111103,0.19361111111111118,0.08250000000000002
indian person,0.08861111111111108,0.09555555555555562,0.053888888888888875,0.040000000000000036,0.046944444444444344,0.1233333333333333,0.1233333333333333,0.11638888888888899,0.08166666666666667,-0.057222222222222285,0.0,-0.11277777777777787,0.046944444444444344,-0.5086111111111111,0.1233333333333333,-0.33499999999999996,0.13722222222222213,-0.2794444444444444,0.060833333333333406,-0.3697222222222222,0.1233333333333333,0.13722222222222213,0.10944444444444446,0.019166666666666665,0.09555555555555562,0.040000000000000036
