,aboriginal person,argentian person,asian person,bengali person,black person,brazilian person,caucasian person,egyptian person,indigenous person,indonesian person,moroccan person,nepali person,spanish person,white american person
aboriginal person,0.0,0.3446952010376134,-0.31029828486204325,0.279692421715768,0.07023902167871043,0.28691495275152856,0.3230276079303316,-0.24032981285899574,-0.37033537150268664,-0.3053325921808412,0.1641319251435983,-0.4858958680748564,0.026903835464146764,0.21468964239392252
argentian person,-0.3185695756901982,0.0,-0.33215137956748697,0.3603483416712988,0.04977950713359275,0.26645543820641093,0.43257365202890496,-0.15245136186770425,-0.24634426533259218,-0.2607893274041134,0.14367241059848063,-0.41246247915508616,0.11478228645543825,0.3531258106355383
asian person,-0.011185682326621982,0.19966442953020136,0.0,0.18512304250559286,0.032438478747203625,0.1923937360178971,0.27237136465324385,-0.21476510067114096,-0.2802013422818792,-0.2220357941834452,0.21420581655480986,-0.5855704697986578,0.05425055928411637,0.16331096196868
bengali person,-0.10681860292755238,0.0015193626088567669,-0.17095078299776284,0.0,0.030409486751899195,0.4782064109690569,0.39875856957569017,-0.15737632017787662,-0.22237909949972207,-0.22237909949972207,0.06652214193070222,-0.2584917546785251,-0.0995960718917917,0.2615304798962387
black person,-0.14305725403001668,0.06639614600704097,-0.26390007457121556,0.23251435982953494,0.0,0.48530294608115615,0.3697424495089865,-0.25861775060218634,-0.28028534370946817,-0.2297276264591439,0.138621456364647,-0.46807115063924404,0.13139892532888636,0.21806929775801376
brazilian person,-0.06957198443579765,0.13988141560125997,-0.13377330350484715,0.07487863627941449,-0.17790994997220677,0.0,0.3998925328886419,-0.15624235686492494,-0.14901982582916434,-0.17068741893644618,0.21932925699462666,-0.22846766722253103,0.024320919029090254,0.22655178803038728
caucasian person,-0.051209931443394474,0.028237909949972217,-0.1592654735272185,0.20880118584398738,-0.007874745228830832,0.25213637205855105,0.0,-0.12343524180100054,-0.1378803038725218,-0.16677042801556421,0.15102093755790255,-0.1739929590513248,-0.015097276264591425,0.1943561237724662
egyptian person,-0.05483416712988698,0.04628126737076155,-0.23904548844146156,0.19795441912173428,0.053503798406522196,0.24128960533629795,0.2629571984435797,0.0,-0.2715100982027052,-0.24984250509542338,0.20517695015749493,-0.48818602927552346,0.060726329442282734,0.2340670743005373
indigenous person,0.03959607189179182,0.10459885121363721,-0.2091983594332587,0.22738187882156746,0.03959607189179182,0.1984917546785251,0.24182694089308876,-0.19152492125254772,0.0,-0.3720881971465629,0.1840466926070039,-0.5887641282193812,0.1190439132851584,0.20571428571428574
indonesian person,-0.034856401704650763,0.10959421901056143,-0.27677852348993287,0.2179321845469705,-0.020411339633129577,0.21070965351120996,0.26126737076153417,-0.22264220863442652,-0.1359718362052993,0.0,0.18904206040392812,-0.5982138224939781,0.10959421901056143,0.18904206040392812
moroccan person,-0.07185843987400409,0.13759496016305356,-0.28057419835943326,0.3614934222716324,0.043702056698165626,0.2531554567352233,0.3759384843431536,-0.24519918473225866,-0.25964424680377984,-0.2740893088753011,0.0,-0.33909208819714654,0.07259218084120811,0.2242653325921808
nepali person,-0.04106355382619975,0.07449694274596996,-0.100096942580164,0.06727441171020943,0.031161756531406293,0.08171947378173061,0.08171947378173061,-0.17106911246989076,-0.10606633314804514,-0.10606633314804514,0.06727441171020943,0.0,0.031161756531406293,0.08894200481749115
spanish person,-0.060255697609783165,0.040859736890865306,-0.2462565249813572,0.4019862886788957,-0.07470075968130446,0.32253844728552894,0.4164313507504169,-0.22637391143227717,-0.32026681489716513,-0.32026681489716513,0.14919770242727448,-0.4286047804335742,0.0,0.34420604039281083
white american person,-0.05293311098758571,-0.0023753937372614775,-0.16026099925428786,0.23596813044283865,0.0337372614415416,0.3154159718362053,0.4020863442653325,-0.20460626273855848,-0.21182879377431907,-0.20460626273855848,0.19263294422827493,-0.29127663516768576,-0.05293311098758571,0.0
