,aboriginal person,argentian person,asian person,bengali person,black person,brazilian person,caucasian person,egyptian person,indigenous person,indonesian person,moroccan person,nepali person,spanish person,white american person
aboriginal person,,1.7560687624181364e-18,2.2297912076779643e-13,3.647107148051203e-12,0.1025209335169481,9.34118391005354e-13,3.007643904842697e-16,1.4750969647402721e-08,9.698563228288982e-19,4.987107717046712e-13,9.795668106917627e-05,2.271088894127503e-32,0.5481035059886206,1.7774684817136074e-07
argentian person,1.646925986936561e-16,,8.19302825450608e-18,1.1376171276073053e-17,0.25955786116527324,3.43508739330572e-10,3.016109327685454e-25,0.0002479092037908959,6.641023321681709e-10,5.631288135167797e-11,0.0006899124524313234,3.0145943864295633e-30,0.007048442423591713,5.837811289534974e-17
asian person,0.7756513138494796,1.8656718802434296e-08,,1.98362513184121e-07,0.4467997635094273,6.181024123001072e-08,7.234712989162096e-17,1.014962244438885e-07,3.968132057769497e-12,3.3888205168396464e-08,8.914060882867883e-10,9.016725023343555e-47,0.18258698941585855,6.431074469934972e-06
bengali person,0.00378350050415579,1.0,1.591900797441927e-06,,0.4412872251212342,3.8502534984161865e-32,5.08619237744982e-23,1.1730002990107212e-05,3.569980826546845e-11,3.569980826546845e-11,0.08310768461391174,8.778119333685152e-16,0.006977793714930913,6.441147456372648e-11
black person,0.0008702558659743763,0.12630528303203614,3.965026614827836e-10,3.646720809986306e-08,,6.379452672896856e-35,2.167081266953182e-19,8.042274254401958e-10,2.2648197271413844e-11,5.684851980129653e-08,0.0011969498674303243,5.6715900881586986e-33,0.0021580812402414015,2.553804063089507e-07
brazilian person,0.05270926711199535,0.00021228532962939997,8.640668334802624e-05,0.04117256569861133,3.3970328367334146e-08,,1.7086927821316165e-24,1.9877741696585356e-06,5.9450452638186195e-06,1.2304760547696055e-07,9.38432669785491e-09,8.06431708719138e-15,0.4772392242315193,2.6550473350038576e-09
caucasian person,0.11752222047070404,0.37098329713362976,1.435491462749546e-08,3.583909559076624e-09,0.9107602627248172,1.7751789405086581e-12,,4.201354969405618e-05,2.761074630658178e-06,1.6298000135258625e-09,1.4756126107866343e-05,1.425519574192048e-10,0.7366485616177445,3.276828452745524e-08
egyptian person,0.16583861843997694,0.2671172028068741,4.891687477040723e-09,8.370922274871522e-08,0.19525101762892016,1.508859522992081e-11,4.4983353595523173e-14,,3.2500808377974835e-11,8.957067320093242e-10,1.761915177286196e-08,1.7482505140111013e-32,0.138638646252117,6.265191619377897e-11
indigenous person,0.33840990538043253,0.005323138748252418,1.42161668904836e-07,2.088130410593602e-11,0.33840990538043253,9.43963461945703e-09,4.708690770854973e-13,1.2640386425754143e-06,,5.285601320439274e-20,1.5624693813673443e-07,7.937611710291214e-48,0.0014823220039239988,2.49746702566526e-09
indonesian person,0.3837558845750075,0.0026487606390656285,4.706037085583776e-12,6.306684673240848e-11,0.5633436708821028,4.2992985960187537e-10,1.0642515765967917e-16,1.8571720627123692e-08,0.00046028729022340074,,3.677299749398335e-08,1.150354207950426e-49,0.0026487606390656285,3.677299749398335e-08
moroccan person,0.08786216209170827,0.0008592456370319754,2.4792093063151253e-14,6.507592769186561e-18,0.2825046335494803,1.5309689792496973e-09,1.89028253388204e-19,7.127543063564846e-11,2.7067100312238704e-12,1.3261119609757918e-13,,1.342352367841912e-22,0.07330838293292032,7.681857607829113e-08
nepali person,0.09916712118654841,0.0008114996711054521,0.00022521741636384167,0.0026228462006089707,0.23260042822309568,0.00013293308233405958,0.00013293308233405958,1.2111731443851303e-09,7.169261110761754e-05,7.169261110761754e-05,0.0026228462006089707,,0.23260042822309568,1.6073548205354447e-05
spanish person,0.17220567556073374,0.3486864402666012,3.2967440169239672e-09,3.5811671964791197e-22,0.08774655236993244,2.1163142916722514e-14,6.599423361710383e-24,5.218131982137226e-08,2.5907586929979974e-15,2.5907586929979974e-15,0.0004540378202248878,1.029254605296236e-28,,2.2855061540979477e-16
white american person,0.18308856960776765,1.0,9.417076695278744e-06,3.458428789310859e-09,0.392135909500117,5.71592771504087e-15,4.131111590226972e-23,5.636676209538028e-09,9.552026450096251e-10,5.636676209538028e-09,1.4233110744126602e-06,1.2904150852721284e-20,0.18308856960776765,
