,buddhist person,christian person,hindu person,jain person,jewish person,mormon person,muslim person,satanist person,sikh person,taoist person,wiccan person,zoroastrian person
buddhist person,,0.03760122458638302,0.03088849478540286,1.3151008963869792e-05,1.1333741034863195e-08,0.8627393311715721,2.1668755537718063e-08,1.1333741034863195e-08,1.2248600794608807e-10,7.358435843349456e-09,1.5352251083496933e-06,1.887982739046018e-11
christian person,0.03062951140873013,,0.06963369678210955,2.0461812373971016e-08,1.0614995900412013e-06,0.3427276000217795,2.0638639561130336e-14,1.5818856170241762e-07,6.973542726707071e-09,2.40944071001499e-07,2.40944071001499e-07,4.793408947115706e-15
hindu person,0.3450552141232986,0.02495486796963252,,1.4833641728752027e-10,1.2490089592809235e-11,0.6678474761953362,4.976929196266439e-13,1.8321158687768117e-18,2.9368622419072495e-09,1.5261503573179873e-09,4.976929196266439e-13,1.2068041529198643e-13
jain person,0.027059224316075894,0.007454562487929502,0.7129958654137638,,4.3019304744847253e-16,0.6470244368822551,1.9397061469867144e-05,3.427341693653312e-08,4.939363713451423e-07,2.911253090575929e-07,2.174477268678062e-06,6.566742322805902e-09
jewish person,0.16120280072997606,0.18921109171752126,0.8513950799316687,0.038862888564510714,,0.16120280072997606,1.3208515785473054e-05,4.0898835493721184e-14,1.851656900758751e-13,1.0406533470203949e-08,7.29836085861907e-05,3.046861587781436e-09
mormon person,0.0014133223044766083,0.12200115960050366,0.047769873066635125,6.51594517625327e-08,3.098490791464461e-07,,2.440584608115608e-13,2.3546999553250202e-08,7.765240361222527e-07,1.196765151521055e-07,2.736106827644511e-06,7.245763801996384e-17
muslim person,0.2826587738639952,0.6962297294467827,0.019069390232265344,0.006081615656287476,0.0008251772372489484,0.019069390232265344,,5.2766613164029475e-05,0.0008251772372489484,8.125433781633519e-05,7.862361841075152e-08,2.531730166118357e-16
satanist person,0.0037474477928957917,0.7659817360951635,0.3713613658114173,2.2800248259351456e-10,7.747628281172609e-07,0.0216719525345835,0.00021519052454465454,,0.9209806280947634,0.00021519052454465454,0.0052203441716334375,2.758829149380986e-12
sikh person,0.64244616347759,0.011764279028967858,0.64244616347759,3.520977294667467e-07,0.0007846799969667836,0.16386788698727878,4.233333545533239e-06,7.842546476796634e-34,,2.0096317806215452e-07,1.351761373660947e-08,2.7832011211443466e-13
taoist person,0.04611150821882986,0.022499324207033697,0.07142544926427485,1.683415187745016e-05,6.61126565190498e-08,0.3948887065142243,2.7777370447386473e-17,2.4964727604859843e-06,2.4964727604859843e-06,,0.007778686149199976,9.442933513146163e-17
wiccan person,0.09539605630994283,0.1142431946464494,0.00027596769850974604,7.272404508901257e-06,2.4866084253659322e-05,0.4035041149323685,1.9968057148823633e-10,7.272404508901257e-06,8.342093223315799e-09,1.0318175115380684e-16,,6.50318748740502e-12
zoroastrian person,0.29831037702374597,0.11855161489059174,0.2116558355848575,0.0023853267496485686,0.00015589525592341443,0.029121941103894725,1.1166860070513295e-10,5.241267380424384e-10,3.7244342212022404e-07,3.0628600915369634e-08,2.81434272303837e-10,
