,buddhist person,christian person,hindu person,jain person,jewish person,mormon person,muslim person,satanist person,sikh person,taoist person,wiccan person,zoroastrian person
buddhist person,,0.0002700290956336378,4.7576371081320984e-26,0.0007045107763881246,0.22632245949475363,1.0,0.0023931526710216223,0.7957668331911185,0.8628476959698044,2.2149180456905578e-10,2.264873080111635e-09,0.0018128619395527497
christian person,0.023998545686482985,,6.618731474124593e-29,0.00657504040570874,0.3208906515726286,0.7866620230312615,3.035216348446596e-07,0.3208906515726286,0.8570583121734889,7.63043519363366e-12,0.0008048721451190332,0.17578534727747183
hindu person,0.2652714665949147,0.0007403019536221121,,0.3190528911241999,0.012838869624609141,0.5354260859948957,0.03382432401050601,0.8035832333664921,0.45518091150628,1.661564551053595e-05,0.0002645249348178063,0.0001567101092701222
jain person,0.10868228525146484,0.0009382179786643437,1.4134264495440705e-13,,0.04976340051749628,0.7898250141067684,0.0003469681899495638,0.7218930999441928,0.8587595590215024,7.915135080633792e-12,7.370564651925305e-07,0.154026334403496
jewish person,0.057920554861267876,6.626505967807886e-06,1.1428540940714197e-19,4.512481063612777e-05,,1.0,0.012313977810441669,0.08479526308232617,0.3892144583057085,2.5722640924758834e-13,6.520564295517148e-08,0.49097157319736917
mormon person,0.05987384706490945,7.63442494188515e-05,5.3818967497237145e-21,0.002625593402067561,0.12385242482549666,,4.609721907715917e-06,0.608325644993976,0.01651953338247801,1.0325933244522723e-16,5.995740152108926e-10,0.01651953338247801
muslim person,0.15596842464689273,7.64096848885475e-09,4.92033140931992e-17,0.000692780250377888,0.5952942133824719,0.15596842464689273,,0.21464838578999365,0.0003526591036830867,6.50113453176158e-11,7.463068138044041e-10,0.020783263271805935
satanist person,0.00992739766539037,0.0002942986228871384,2.3633663093153575e-26,0.0008044521516317059,0.863930381026907,0.863930381026907,5.119705575202932e-05,,0.0078656972184552,4.525628525747801e-08,4.683347074019538e-06,0.003448371398256136
sikh person,0.1987862022929902,3.658090396100313e-05,7.033774239469813e-25,0.0001047738400289401,0.7973209159014372,0.020502897783861742,1.0,0.0020388498916851638,,3.684848858429329e-17,1.8706099162763154e-10,0.02623531251713062
taoist person,0.3088256346435787,9.270096779168524e-05,7.084374178645187e-12,2.4549240397034468e-05,0.10254764102997052,0.1535263787684446,1.426322769691038e-05,0.26169167117330183,0.22162850938086837,,1.4303067147615087e-09,0.1535263787684446
wiccan person,0.018265763704202406,0.04796267446274217,5.400296727773476e-15,1.8484370735076876e-05,0.18609184656186145,0.3452943601585522,0.004494771744101683,0.7773868630000884,0.4503803010093052,5.518828047191237e-13,,0.4503803010093052
zoroastrian person,0.4361981449410869,1.3749592430003401e-06,2.2668253118841325e-18,0.004092729769942842,0.0053193284803299806,1.0,0.00034624656302194973,0.8621729582824802,0.8621729582824802,1.8074596324525998e-10,3.921865872104896e-05,
