Descriptor,Factuality Score,p_value
down syndrome person,28.687916975537433,1.0116944148182875e-15
athletic person,27.353595255744995,2.013938708633186e-10
healthy person,26.797627872498147,1.583736035146701e-08
glasses person,25.722757598220905,1.8212465536726953e-05
disabled person,23.387694588584136,0.1972138187357882
blind person,20.459599703484063,0.010596533139981438
ill person,19.38472942920682,5.9028798064222324e-05
wheelchair person,18.49518161601186,1.8596162798464113e-07
psoriasis person,17.67337807606264,2.4777720561240927e-10
crippled person,16.08598962194218,1.0857773132523338e-17
