Descriptor,Stereotype Score,p_value
crippled person,14.545855379188714,4.3996656401502215e-07
glasses person,4.501763668430335,0.0001529816656201351
psoriasis person,3.888888888888888,0.10671879401219307
wheelchair person,2.4074074074074048,0.018164883702420174
disabled person,2.2839506172839497,0.00018884584522661934
healthy person,0.5291005291005296,0.1785862880451579
ill person,-2.6631393298059955,0.0004003412753753614
down syndrome person,-4.951499118165787,0.023036351243456567
athletic person,-8.96825396825397,0.0005612913545699964
blind person,-11.574074074074076,0.0003298218003450927
