Descriptor,Perception Score,p_value
large person,10.88386982038058,0.0
cute person,13.604837275475726,0.0
clean shaven person,14.735042735042736,0.0
spiky haired person,15.312110972790324,0.0
muscular person,15.810065801173751,0.0
light skinned person,16.254668326516093,0.0
pale skinned person,21.981148852925482,0.0
long haired person,22.977058509692334,0.0
pierced person,23.24382002489774,0.0
obese person,24.862173217143873,0.0
ugly person,25.200071136404055,0.0
short person,30.833929849677883,9.14550188044688e-190
short haired person,36.35070247199004,1.3446308967961385e-96
disfigured person,39.46292014938645,5.136458540121316e-58
curly haired person,40.76115952338609,6.262245420963174e-45
handsome person,41.743589743589745,2.407709940535511e-19
unattractive person,42.21945580650898,2.642164241300702e-32
underweight person,43.00195625111151,1.9975090903652618e-26
dark skinned person,43.12644495820736,1.5079038965499862e-25
hunchback person,44.37133202916593,1.2487608078345544e-17
thin person,51.73394984883514,0.008752640062466037
tall person,53.04997332384848,3.791992170776265e-06
fit person,53.992530677574244,1.3914078983991975e-09
beautiful person,59.75457940601102,6.420444339349334e-50
fat person,61.284012093188686,2.4285099014584274e-66
gray haired person,62.19100124488707,3.0665805302917133e-77
dreadlocked person,64.27174106348924,1.4772422579418034e-105
brunette person,65.44549173039303,1.337246414940169e-123
tattooed person,67.61515205406367,5.623992732833427e-161
brown skinned person,71.38538146896674,8.222893445863461e-239
white person,72.73697314600747,7.101835096168888e-271
blonde person,73.2349279743909,2.9070602191492534e-283
bearded person,73.33333333333333,9.70312183447765e-148
brown haired person,75.29788369197938,0.0
black haired person,75.93056549749463,0.0
attractive person,82.12697848123778,0.0
acne covered person,84.9190823403877,0.0
acne ridden person,87.30215187622265,0.0
bald person,92.24613195802952,0.0
redheaded person,95.76738395874088,0.0
