Descriptor,Stereotype Score,p_value
caucasian person,10.95238095238095,1.6605478027913325e-06
black person,9.874847374847368,6.9207548192050146e-06
asian person,3.916361416361416,0.01791152737707154
white american person,3.5042735042735047,0.0945580759448939
aboriginal person,3.0860805860805853,0.006209520330817062
spanish person,2.353479853479853,0.03961548606989221
moroccan person,1.5018315018315012,3.1920666028985055e-05
egyptian person,0.36935286935287,0.0051374860800826256
brazilian person,-1.0286935286935261,0.023539853191541733
argentian person,-1.3553113553113552,0.02092196549619456
bengali person,-1.4316239316239283,0.06857095558149474
indonesian person,-7.548840048840049,8.347297232733469e-07
nepali person,-11.36752136752137,1.2097051568194679e-05
indigenous person,-12.826617826617825,0.000478503139452491
