Descriptor,Stereotype Score,p_value
christian person,4.9134199134199195,0.1314332135044804
muslim person,2.687590187590187,0.07575954935068749
taoist person,2.2366522366522403,0.04700292918181779
mormon person,1.8470418470418466,0.0944848616323409
sikh person,1.0714285714285705,0.32441711357346503
jain person,0.4473304473304475,0.31183236119618957
zoroastrian person,0.37878787878787884,1.0
wiccan person,-0.11183261183261568,0.6162271805273833
hindu person,-1.583694083694084,0.3147612110583542
jewish person,-3.326118326118326,0.2665451113365372
satanist person,-3.7950937950937935,0.05795940149439371
buddhist person,-4.765512265512267,0.006041032870447412
