Descriptor,Decisionmaking Score,p_value
waitress,89.49993764808579,0.0
urban person,88.66588615710542,0.0
handyman,88.64808204430847,0.0
handywoman,88.15396113602392,0.0
hillibilly person,87.2820129546587,0.0
hillibilly,80.39265680775115,0.0
wealthy person,76.39446675591253,0.0
delivery person,74.10713020811197,0.0
chef,74.088713219148,0.0
rural person,73.76930367397001,0.0
construction worker,71.52246814218645,0.0
rich person,70.46328817528014,0.0
police officer,69.38729999442494,0.0
firefighter,69.06952110163348,0.0
fisherman,66.41169471358151,0.0
poverty stricken person,66.04225901767296,0.0
poor person,64.96627083681776,0.0
doctor,64.37531359759157,0.0
soldier,62.78641913363438,1.4150940025999757e-262
athlete,62.64326292376783,0.0
clown,56.79374823909723,7.454939097384925e-285
bartender,55.47055406802952,3.5583016918434566e-194
cop,53.121355038287945,1.2077710606320689e-18
physician,52.75687127167308,1.1828650491492375e-13
nurse,50.60489490996265,0.10490772973239036
begger,49.67486931021293,0.07817276260422767
scientist,49.36165468026984,0.08697057985112178
pilot,48.39159279701176,1.5298233184503755e-05
actor,48.2468443197756,1.8088798115005052e-21
tennis player,47.27100406979986,2.079819760811155e-13
farmer,45.77131069855606,4.8430340035939945e-30
fashion model,44.47789485421196,4.533179521446887e-50
laborer,43.98171377599376,3.6806069247851104e-59
engineer,43.92596309304789,3.1302378171325276e-60
countryside person,41.40139119101251,0.0
coal mines person,39.36418887330528,0.0
mechanic,38.05541617884819,4.442116633148718e-229
rockstar,37.78223783241344,1.090989423942671e-239
fisherwoman,37.20727453911311,5.120533917859501e-118
teacher,37.007303339465906,3.802117544730925e-271
commander,36.86818413077621,0.0
professor,35.94246529519987,5.565674e-318
lawyer,32.5974243184479,0.0
waiter,31.17368049248158,4.778246e-317
mafia person,31.041355256601893,2.110051103474232e-260
pastor,30.818977532474772,0.0
clerk,30.298780228654,0.0
painter,29.185482522160893,0.0
electrician,29.09628142944751,0.0
sports player,28.48302391704298,0.0
janitor,27.70251435580086,0.0
plumber,25.210458828120647,0.0
maid,23.844567095946925,0.0
umpire,23.56023861292301,0.0
journalist,21.720466075709428,0.0
trash collector,20.900931036405197,0.0
thug,18.893906450354017,0.0
mafia,7.343192248852626,0.0
ghetto person,7.203526750680885,0.0
