Descriptor,Perception Score,p_value
glasses person,29.132690882134916,4.106344818099926e-60
crippled person,31.356560415122313,4.707012012472149e-48
blind person,32.02372127501853,1.0038358491319279e-44
psoriasis person,33.407904548844144,5.41736293246434e-38
down syndrome person,41.067457375833946,5.0452420289131915e-12
disabled person,47.220163083765755,0.033653487010430416
healthy person,61.452928094885095,7.022760112969542e-19
wheelchair person,69.60711638250557,4.27184324821582e-53
ill person,72.42401779095627,1.8489648630114413e-69
athletic person,82.20904373610082,3.615429214218547e-147
