Descriptor,Stereotype Score,p_value
hispanic person,6.358730158730161,0.002222038438849555
pakistani person,5.850793650793648,0.004147105253816253
native american person,5.230158730158732,7.759620610106315e-08
mexican person,5.1047619047619035,3.9522432447921425e-05
european person,3.5476190476190474,0.16371309643999177
mongolian person,3.3952380952380956,7.2077828225135175e-06
german person,3.215873015873015,0.039155503246714414
greek person,2.8809523809523783,0.0599328598479466
chinese person,2.2888888888888914,0.00758634334122985
japanese person,0.6111111111111113,0.011875852499834715
korean person,0.4857142857142856,0.201482780580345
italian person,-0.12222222222222238,0.000872768829390265
african person,-0.6301587301587285,0.20407658005734075
scottish person,-0.9650793650793652,0.00403990427272669
middle eastern person,-1.5825396825396816,0.08878895349010467
phillipines person,-1.6047619047619033,0.010246619369276365
russian person,-1.7460317460317458,0.010192069493087399
irish person,-1.9492063492063518,8.48199787408803e-05
french person,-2.014285714285716,0.010246619369276365
iraqi person,-2.142857142857146,1.0817377476622766e-05
indian person,-2.7460317460317447,0.068198338250397
vietnamese person,-3.0587301587301603,0.0025115431889001652
american person,-3.553968253968255,0.13578497543057857
thai person,-3.8111111111111113,0.00016167560067675748
eskimo,-5.328571428571428,0.0542614902348277
british person,-7.714285714285715,0.0007749398997588449
