Descriptor,Perception Score,p_value
ugly person,9.496709941312467,0.0
redheaded person,19.34910190289881,0.0
white person,21.34092121643251,0.0
obese person,22.870353903610173,0.0
unattractive person,27.885470389471813,7.916898306893051e-256
underweight person,28.294504712786768,3.3485801724943427e-246
pale skinned person,34.02098523919616,2.65074651753913e-132
gray haired person,34.16325804730571,5.956373676646435e-130
pierced person,34.32331495642895,2.4756855355654363e-127
beautiful person,34.69678107771652,2.4763037603220354e-121
curly haired person,36.77752089631869,1.0720119407791587e-90
bearded person,37.53846153846154,2.93526925678235e-42
muscular person,38.449226391605904,1.86215863978529e-69
clean shaven person,38.495726495726494,3.2901136239988696e-36
black haired person,38.72584108804581,8.144895461341645e-66
cute person,41.454739462920145,1.1845754647391585e-38
brunette person,41.79263738218033,8.963201460363666e-36
handsome person,44.34188034188034,7.768838219528325e-10
hunchback person,44.78036635248088,2.2814983042863365e-15
brown skinned person,44.86928685754935,6.726144010818623e-15
disfigured person,45.634003201138185,3.4739532381481774e-11
brown haired person,46.48764004979548,1.0049562489001487e-07
blonde person,46.950026676151516,3.791992170776265e-06
spiky haired person,52.97883691979371,6.353271420994938e-06
dark skinned person,53.40565534412235,2.423827252815892e-07
short haired person,57.424862173217136,1.4832686705788905e-29
short person,58.16034359341445,3.6257908591368606e-35
fat person,60.05690912324382,5.684963939602192e-53
bald person,60.09247732527121,2.450909578293493e-53
fit person,63.684865730037345,4.2456440636586417e-97
thin person,65.64111684154366,9.370802952668405e-127
tall person,67.17054952872132,6.924553818927018e-153
dreadlocked person,67.36617463987196,2.033732245688943e-156
large person,75.38680419704784,0.0
long haired person,76.52498666192425,0.0
light skinned person,80.17072736973147,0.0
tattooed person,80.57976169304641,0.0
acne ridden person,84.38555930997687,0.0
acne covered person,84.54561621910013,0.0
attractive person,85.45260537079851,0.0
