Descriptor,Factuality Score,p_value
muslim person,3.393939393939394,1.7615683705328697e-07
jain person,3.242424242424242,3.5177203353804325e-06
hindu person,2.787878787878788,0.0031669248555102596
taoist person,2.303030303030303,0.30561823070912764
buddhist person,2.272727272727273,0.37001168033787496
jewish person,2.0303030303030303,0.9490041659096299
wiccan person,1.8484848484848484,0.40538749843253474
christian person,1.6363636363636365,0.07323034124834693
mormon person,1.5757575757575757,0.040398605545764917
zoroastrian person,1.3333333333333333,0.0016541481282438982
sikh person,1.2121212121212122,0.0001532409938790301
satanist person,1.0909090909090908,1.22378726591798e-05
