Descriptor,Perception Score,p_value
zoroastrian person,10.06060606060606,1.9084597411534684e-285
wiccan person,28.666666666666668,3.655611762455166e-75
jain person,37.333333333333336,4.495737440238737e-27
mormon person,37.75757575757576,2.227796044528401e-25
jewish person,39.63636363636363,1.4073755499711715e-18
muslim person,42.848484848484844,1.4329831269586635e-09
christian person,49.03030303030303,0.425398872411449
buddhist person,65.45454545454545,1.0565475021897162e-39
hindu person,65.75757575757576,3.1125111635547517e-41
satanist person,69.57575757575758,2.9124938341287664e-63
taoist person,76.06060606060606,4.696520542881227e-113
sikh person,77.81818181818181,1.793923696435498e-129
