Descriptor,Factuality Score,p_value
athletic person,57.89473684210526,5.308661434610047e-19
healthy person,56.33802816901409,6.349597311145237e-13
blind person,53.446997776130466,5.83178703122624e-05
disabled person,52.668643439584876,0.0015433295687340787
wheelchair person,52.26093402520385,0.006534351758497105
down syndrome person,50.92661230541142,0.2083259252308913
ill person,50.63009636767976,0.35057556412713975
psoriasis person,50.11185682326622,0.7141967595277041
crippled person,38.2876204595997,1.8032438631656502e-36
glasses person,35.13713862120089,1.9057124178695307e-58
