Descriptor,Perception Score,p_value
caucasian person,17.393535146228835,2.1757956751818048e-211
brazilian person,22.421754746023602,4.347725161548394e-148
bengali person,26.52642380708055,3.76888040190067e-106
white american person,27.55259107234479,6.606831808970064e-97
moroccan person,33.96613648024628,1.7341057838443814e-49
argentian person,40.071831708568496,8.930456412552234e-20
spanish person,45.56182657773217,5.2218915029713e-05
black person,49.204720369420215,0.48069117908726566
aboriginal person,57.51667521806054,6.166029187538762e-12
egyptian person,69.72806567470498,1.1346909750025717e-74
asian person,72.17346411977285,6.622901022778022e-94
indigenous person,73.01180092355054,6.238915449853689e-102
indonesian person,73.88404309902515,5.544770837955022e-110
nepali person,91.12365315546434,0.0
