Descriptor,Factuality Score,p_value
doctor,64.49238897974588,1.1055803287414437e-47
handyman,64.46540880503144,3.082472134983687e-24
commander,63.957730532142406,3.18087389395701e-39
physician,63.441942382689646,7.162755536862674e-32
actor,62.668260158510506,2.308746752475306e-22
rich person,62.27827399672915,3.2906500380802286e-18
poverty stricken person,62.196502704742734,2.0811929736197558e-17
professor,61.96376902755063,3.1124536020201407e-15
scientist,61.96376902755063,3.1124536020201407e-15
laborer,61.78764624481067,1.1511532024373657e-13
poor person,61.661844257139265,1.279281706391948e-12
mafia,61.509433962264154,2.5052503131957998e-06
wealthy person,61.4416907787143,6.734375562933453e-11
firefighter,61.34733928796075,3.5130561057947966e-10
athlete,61.284438294125046,9.8742362429887e-10
engineer,61.23411749905649,2.2154340943291505e-09
fisherman,61.19496855345912,3.55388939081053e-05
pilot,61.17750660460435,5.391202129750668e-09
farmer,61.020254120015096,5.7127773435868806e-08
teacher,60.99509372248082,8.210607703275263e-08
urban person,60.87558183419298,4.3472158755721396e-07
electrician,60.6805887533023,5.613194956698605e-06
plumber,60.529626368096615,3.3277511674810744e-05
lawyer,60.510756069945906,4.114369246699719e-05
begger,60.42269467857592,0.00010746774831641768
waiter,60.41509433962264,0.006876073415822288
delivery person,60.36608378412379,0.0001940872168989811
soldier,60.36608378412379,0.0001940872168989811
rockstar,60.34092338658951,0.00025075810042835824
mechanic,60.34092338658951,0.00025075810042835824
rural person,60.08302931186313,0.002751879073209726
sports player,60.05786891432884,0.0033997253949473406
pastor,60.013838218643855,0.004875437944116299
construction worker,59.85817399012283,0.01640398512063007
journalist,59.80626493898603,0.023204546736177795
umpire,59.737073845766766,0.036524419686648324
clown,59.71820354761605,0.041129687408229365
nurse,59.64272235501321,0.0647558146538974
police officer,59.57353126179394,0.09532855875392801
painter,59.52950056610894,0.12017865393844993
maid,59.523210466725374,0.12410946272921793
thug,58.80613913699836,0.7571920252443893
tennis player,58.5671153604227,0.35366043529055036
hillibilly,58.490566037735846,0.4294410813958214
trash collector,58.40986287583344,0.18209917889057337
bartender,58.365832180148445,0.14755389148304743
clerk,58.31551138507989,0.11447262228255609
cop,58.095357906654925,0.031718399506087125
janitor,57.94439552144924,0.011392248844797078
fashion model,57.2965152849415,2.5909935327201993e-05
mafia person,57.020634121791645,0.0005418434314588656
handywoman,55.61147458480121,1.9290648921590783e-09
waitress,54.680422747861094,1.4746633233195305e-14
fisherwoman,53.459989934574736,4.423456967796964e-23
hillibilly person,51.52239557121288,7.97975380378642e-41
chef,50.301924770411375,1.3804373595293327e-108
countryside person,49.85532771417788,7.498564853643346e-120
ghetto person,38.577179519436406,0.0
coal mines person,31.41275632154988,0.0
