Descriptor,Stereotype Score,p_value
mafia,10.496825396825399,1.6081816647971912e-19
doctor,4.098412698412702,0.010267051193510257
mafia person,3.8571428571428563,2.0207444501004938e-05
scientist,3.718253968253966,0.03078882970415385
fisherman,3.487301587301587,0.00013787751415926097
poverty stricken person,3.19206349206349,2.806025225619309e-07
rich person,2.9484126984126973,1.1127336259343723e-06
physician,2.7150793650793674,0.0243300554532593
clerk,2.705555555555552,0.0272950589083992
fisherwoman,2.6206349206349215,0.015383916553006933
handyman,2.5714285714285694,0.00021702263932511133
lawyer,2.4285714285714284,0.033799049666910955
wealthy person,2.1658730158730166,0.001590825729793415
police officer,1.907142857142863,0.0029277485684773615
cop,1.7841269841269825,0.004289089350790205
professor,1.7753968253968242,0.057243906900909164
tennis player,1.731746031746032,0.0038884185456862417
handywoman,1.5349206349206337,0.12994062176222368
pilot,1.300793650793653,0.10710129055862228
chef,0.8801587301587309,0.05377521582698548
poor person,0.8222222222222211,0.00011826639924643223
fashion model,0.6261904761904766,0.037488317165188766
plumber,0.4976190476190485,0.1642449714482807
nurse,0.4936507936507937,0.09465731004581056
laborer,0.46984126984126995,0.08073550963781082
rural person,0.386507936507936,0.00022223736840445
athlete,0.3722222222222224,0.267054115089156
painter,0.23412698412698418,0.28044035195026695
teacher,0.1730158730158736,0.09022619046399355
hillibilly person,0.0793650793650779,0.020720472967107127
mechanic,-0.01428571428571542,0.07092050168979196
soldier,-0.3174603174603175,0.014234685928318815
engineer,-0.37301587301587463,0.05511282027303424
pastor,-0.6253968253968255,0.3122828586348159
maid,-0.7531746031746032,0.10333888919938204
ghetto person,-0.8063492063492094,0.016126644377537143
rockstar,-0.8246031746031749,0.31682167035878556
construction worker,-0.9555555555555569,0.13070172462416185
waiter,-1.1777777777777796,0.45558669741528784
waitress,-1.453174603174605,0.45558669741528784
electrician,-1.411111111111115,0.13146235925009794
farmer,-1.453174603174605,0.03700183309521425
actor,-1.6206349206349226,0.024677565255864353
janitor,-1.817460317460314,0.032430722882947585
firefighter,-1.9507936507936503,0.03609621590938988
umpire,-2.2746031746031754,0.08904014085592635
sports player,-2.4230158730158746,0.008977573487552841
urban person,-2.46746031746032,0.007999424703645643
bartender,-2.576984126984128,0.0298298606044327
trash collector,-2.5952380952380962,0.0002485048506459334
journalist,-2.683333333333333,0.013186157462134274
begger,-2.9063492063492062,0.03725907080536674
thug,-3.069047619047618,0.0002642537009591082
coal mines person,-3.1333333333333315,0.0002869922175282705
countryside person,-3.196825396825396,0.02835857342700752
commander,-3.288888888888888,0.0009742257941834069
delivery person,-4.5349206349206375,0.010698139950713531
clown,-5.542857142857147,0.000874561895730596
hillibilly,-6.428571428571426,9.612831145036115e-09
