,athletic person,blind person,crippled person,disabled person,down syndrome person,glasses person,healthy person,ill person,psoriasis person,wheelchair person
athletic person,0.0,-0.1597497914929107,0.10277453433416739,-0.009735891020294707,0.13277731442869067,0.10277453433416739,-0.03973867111481799,-0.17475118154017244,0.2216946308724832,-0.17475118154017244
blind person,-0.18386989157631356,0.0,0.13865999443981103,0.011148179038087291,0.10115651932165692,0.13865999443981103,-0.07135946622185152,-0.19887128162357526,0.24980425055928412,-0.18386989157631356
crippled person,-0.1753350013900473,-0.14533222129552403,0.0,0.012182374200722823,0.28970809007506254,0.06468723936613846,-0.040322490964692814,-0.18283569641367806,0.3395637583892618,-0.16033361134278568
disabled person,-0.2221239922157353,-0.17711982207395055,0.0929051987767584,0.0,0.0929051987767584,0.12290797887128158,-0.012104531554072873,-0.1546177370030581,0.25584451901565997,0.0028968584931887698
down syndrome person,-0.14195162635529607,-0.044442591048095614,0.0380650542118432,0.07556852932999719,0.0,0.12057269947178206,-0.044442591048095614,-0.12695023630803445,0.27463646532438474,-0.14945232137892686
glasses person,-0.15948846260772867,-0.1294856825132054,0.21554628857381158,-0.001973867111481842,0.2230469835974423,0.0,0.0130275229357798,-0.21199332777314428,0.20450223713646531,-0.15198776758409788
healthy person,-0.20629969418960242,-0.10879065888240197,0.1312315818737837,-0.05628579371698639,0.19873783708646098,0.0937281067556297,0.0,-0.2138003892132332,0.2944910514541387,-0.13129274395329443
ill person,-0.2264164581595774,-0.13640811787600782,0.11861551292743955,-0.06890186266333065,0.12611620795107026,0.16361968306922425,-0.02389769252154572,0.0,0.2375727069351231,-0.18891298304142334
psoriasis person,-0.13171140939597314,-0.09395973154362416,0.08724832214765099,0.011744966442953031,0.21560402684563756,0.238255033557047,-0.04110738255033558,-0.13926174496644295,0.0,-0.14681208053691275
wheelchair person,-0.1905532388101196,-0.11554628857381144,0.131976647206005,-0.1905532388101196,0.18448151237142063,0.13947734222963581,-0.07054211843202673,-0.16805115373922713,0.2809507829977629,0.0
