,athletic person,blind person,crippled person,disabled person,down syndrome person,glasses person,healthy person,ill person,psoriasis person,wheelchair person
athletic person,,0.00012484984283943094,0.011822628096492444,0.8525131539310626,0.0007881113150086266,0.011822628096492444,0.3524426233307307,2.5522412011078633e-05,6.98006643823987e-09,2.5522412011078633e-05
blind person,1.6335405247690665e-05,,0.0009015252104845268,0.8582137419187632,0.015867776213213516,0.0009015252104845268,0.09036525931812218,4.166337829294461e-06,5.393781394485454e-10,1.6335405247690665e-05
crippled person,2.4403159370358405e-05,0.00048793010482850495,,0.7895709673142453,1.6373868672887893e-11,0.13033448456656788,0.3731987978792571,1.0613985823804217e-05,2.6588331903896776e-15,0.00011665460843207757
disabled person,3.6566414940490506e-07,4.3096719366615384e-05,0.03718667312775765,,0.03718667312775765,0.005391365231005446,0.7952588054092227,0.0003668916712894893,2.0148725273413307e-09,1.0
down syndrome person,0.00041471363777728827,0.30970282929763204,0.356452614334291,0.06519933185483598,,0.004059243776111839,0.30970282929763204,0.0016206572521132738,7.317709307354151e-11,0.0001992434111641774
glasses person,0.00010416874558158404,0.001671033691407533,5.832700161162599e-07,1.0,2.188335323393373e-07,,0.7878435246599593,1.4029483106305088e-07,2.224660432638941e-06,0.00021936578914481174
healthy person,2.21591552770315e-06,0.01481425174678869,0.0023533452728405633,0.19413594652738542,3.51716689019999e-06,0.03024881050550396,,9.044050105008589e-07,3.742275159967394e-12,0.0030488984217333084
ill person,8.92315132562368e-08,0.0011531660686780868,0.0030658941278210007,0.09633144361594949,0.0016311873193878064,4.109833854109135e-05,0.5794914749485222,,4.4800007480370867e-10,7.420798765011933e-06
psoriasis person,0.00021681907413033863,0.01057318134803413,0.024329159854358136,0.7597902325041157,3.739938335188015e-08,1.4263102033691185e-09,0.3075764864098183,9.104157655916053e-05,,3.672489568995182e-05
wheelchair person,7.956717255580284e-06,0.006590581775277571,0.0014912613373706122,7.956717255580284e-06,5.125457669825419e-06,0.0007780354353047806,0.10353696114265308,9.089407010044258e-05,4.0868638953773085e-13,
