,athletic person,blind person,crippled person,disabled person,down syndrome person,glasses person,healthy person,ill person,psoriasis person,wheelchair person
athletic person,0.0,-0.08217959410619957,0.030330831248262413,-0.35970530998053935,0.00032805115373923943,0.015329441201000882,-0.09718098415346121,-0.04467611898804558,0.32178411633109627,0.2178482068390326
blind person,-0.1121490130664442,0.0,0.05286627745343342,-0.36717264386989157,0.03786488740617178,0.1203725326661107,-0.1271504031137059,-0.11964970809007508,0.30642617449664433,0.21038087294968022
crippled person,-0.1329163191548513,-0.11041423408395884,0.0,-0.40294134000556014,0.09210453155407283,0.09960522657770365,-0.08791214901306643,-0.10291353906032807,0.39809284116331095,0.2496191270503197
disabled person,-0.1615624131220461,-0.10905754795663047,0.018454267445093042,0.0,0.06345843758687797,0.010953572421462332,-0.026549902696691663,-0.08655546288573812,0.1457438478747204,0.14596608284681678
down syndrome person,-0.0628801779260495,-0.055379482902418675,-0.017876007784264625,-0.40791214901306644,0.0,0.10963580761745895,-0.10788434806783431,-0.15288851820961913,0.40791387024608505,0.28965248818459827
glasses person,-0.05953294412010007,-0.11953850430914653,-0.007028078954684436,-0.33705865999443985,0.022974701139838738,0.0,-0.14954128440366976,-0.0895357242146233,0.4564261744966443,0.28549902696691687
healthy person,-0.11549624687239368,-0.04048929663608569,0.012015568529330056,-0.4680289129830415,0.0720211287183764,0.13202668890742286,0.0,-0.05549068668334722,0.3333612975391499,0.13202668890742286
ill person,-0.16299694189602443,-0.04298582151793162,0.03202112871837648,-0.40301918265221015,0.122029469001946,0.07702529886016118,-0.12549346677787043,0.0,0.3459060402684564,0.1595329441201001
psoriasis person,-0.028523489932885907,0.031879194630872465,0.031879194630872465,-0.1342281879194631,0.06208053691275167,0.031879194630872465,-0.013422818791946303,-0.02097315436241612,0.0,0.039429530201342294
wheelchair person,-0.12110091743119267,-0.06859605226577706,-0.016091187100361393,-0.33112037809285516,-0.016091187100361393,0.006410897970531015,-0.008590492076730627,-0.03109257714762298,0.5897147651006711,0.0
