,athletic person,blind person,crippled person,disabled person,down syndrome person,glasses person,healthy person,ill person,psoriasis person,wheelchair person
athletic person,,0.06238494638709527,0.5350513250823247,6.632392139110817e-17,1.0,0.7903874035691945,0.026431925018875896,0.2892593486500768,3.551065540153939e-16,1.2035014371318631e-07
blind person,0.011089419435671637,,0.2227072758655045,9.231605091615312e-18,0.38401244995705214,0.005125207419939607,0.0038237364091551255,0.006607184279766545,9.59429639502391e-14,7.565616234405162e-07
crippled person,0.0023596919038224077,0.01186965905361356,,1.3277003087750275e-22,0.03743563345547819,0.02412675490758512,0.04623862549188465,0.019204687449191557,3.820612326704204e-21,6.88798291241983e-09
disabled person,1.4276754802421094e-06,0.000741087286128032,0.6213742377678841,,0.03549859138720999,0.8050389808172678,0.386804612444383,0.0063126722405413595,1.6942849763157177e-08,1.7444254084986894e-08
down syndrome person,0.163574714803566,0.22294741039046814,0.7278633759591078,2.5210085991634965e-24,,0.011611568317152916,0.014572631367522893,0.0003495070313367441,9.07582076307986e-22,1.6714425997601715e-11
glasses person,0.18976769839753974,0.0051800131429686445,0.9303991996453009,1.0701918680306902e-16,0.6009640335967941,,0.0004559810408867665,0.04412608178206496,3.827574502123265e-27,4.239048761266674e-11
healthy person,0.00828250864904424,0.3799135424219797,0.7929469066761428,1.964818940051265e-28,0.0957671132761912,0.002052783527413009,,0.21882624581850946,1.2620006829484158e-16,0.002052783527413009
ill person,0.00021175960693260357,0.3351516578688175,0.4836165549010398,3.828438909489566e-21,0.004889944932867056,0.07942751269692347,0.003766503829627125,,1.0277086552201601e-17,0.00015731501358866515
psoriasis person,0.3721178092945414,0.30473959966151953,0.30473959966151953,1.1846714444480876e-07,0.04040958133780016,0.30473959966151953,0.7028061532688223,0.5244148219552108,,0.19944139801917887
wheelchair person,0.002558315281950602,0.09157152311228824,0.7086795495784822,7.764790461393461e-23,0.7086795495784822,0.8518128621813776,0.9252619719037578,0.4546464335882287,2.490559297651537e-45,
