,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
african person,0.0,0.3255555555555556,-0.11888888888888893,0.006111111111111067,0.08250000000000002,0.12416666666666665,0.24222222222222223,0.14500000000000002,0.09638888888888886,0.03388888888888886,-0.4591666666666667,-0.3619444444444444,-0.2022222222222222,-0.5980555555555556,-0.2508333333333333,0.1380555555555556,0.15194444444444444,0.14500000000000002,0.006111111111111067,-0.33416666666666667,0.16583333333333328,0.31861111111111107,0.24916666666666665,-0.24388888888888888,0.12416666666666665,0.21444444444444444
american person,-0.6188888888888889,0.0,-0.09805555555555556,0.05472222222222223,0.06861111111111107,0.2074999999999999,0.3047222222222222,0.24222222222222223,0.11027777777777781,0.04083333333333339,-0.3897222222222222,-0.2230555555555555,-0.11888888888888882,-0.5980555555555556,-0.16749999999999993,0.2074999999999999,0.18666666666666676,0.22138888888888897,0.04083333333333339,-0.26472222222222225,0.11027777777777781,0.33944444444444444,0.2977777777777777,-0.2924999999999999,0.11722222222222212,0.22138888888888897
british person,-0.14833333333333337,-0.1275,0.0,0.018333333333333313,0.08083333333333331,0.1711111111111111,0.2683333333333334,0.24750000000000005,0.11555555555555552,0.004444444444444473,-0.3983333333333333,-0.2941666666666667,-0.14138888888888884,-0.5511111111111111,-0.19694444444444442,0.12250000000000005,0.1988888888888889,0.15027777777777773,0.08777777777777784,-0.3080555555555556,0.11555555555555552,0.3586111111111111,0.28222222222222226,-0.35666666666666663,0.0461111111111111,0.25444444444444436
chinese person,-0.17944444444444446,-0.18638888888888894,-0.12388888888888888,0.0,0.015000000000000013,0.15388888888888885,0.3413888888888889,0.2858333333333334,0.14,0.056666666666666754,-0.38083333333333336,-0.3183333333333333,-0.17249999999999993,-0.48500000000000004,-0.2627777777777777,0.1052777777777778,0.20944444444444443,0.16777777777777775,0.0011111111111111738,-0.3738888888888889,0.23722222222222217,0.39,0.265,-0.3252777777777778,0.14694444444444438,0.29277777777777775
eskimo,-0.20500000000000002,-0.14944444444444444,-0.13555555555555554,0.02416666666666667,0.0,-0.0036111111111111205,0.37138888888888894,0.14222222222222225,0.22555555555555556,0.02416666666666667,-0.41333333333333333,-0.2675,-0.23972222222222225,-0.4411111111111111,-0.20500000000000002,0.0797222222222222,0.31583333333333335,0.15611111111111114,-0.024444444444444435,-0.28833333333333333,0.22555555555555556,0.46166666666666667,0.295,-0.3369444444444445,0.13527777777777777,0.2533333333333333
european person,-0.16416666666666666,-0.2058333333333333,-0.14333333333333337,-0.03222222222222221,0.17611111111111105,0.0,0.40527777777777785,0.15527777777777774,0.11361111111111116,-0.0461111111111111,-0.31,-0.21972222222222224,-0.21972222222222224,-0.3933333333333333,-0.19194444444444445,0.14833333333333337,0.10666666666666663,0.1275,-0.018333333333333368,-0.2613888888888889,0.17611111111111105,0.4886111111111111,0.26638888888888884,-0.24055555555555558,0.03722222222222221,0.24555555555555553
french person,-0.1125,-0.13333333333333333,-0.07083333333333333,-0.05000000000000002,-0.029166666666666646,0.01944444444444446,0.0,0.20694444444444443,0.02638888888888888,0.012499999999999983,-0.19583333333333333,-0.15416666666666667,-0.10555555555555556,-0.20277777777777778,-0.15416666666666667,0.033333333333333326,0.12361111111111109,0.1583333333333333,-0.07083333333333333,-0.18888888888888888,0.01944444444444446,0.6652777777777779,0.22083333333333335,-0.18888888888888888,0.08194444444444446,0.08888888888888888
german person,-0.1175,-0.17305555555555557,-0.15222222222222223,-0.09666666666666665,0.0977777777777778,0.16722222222222222,0.2852777777777778,0.0,0.07694444444444443,-0.041111111111111154,-0.2425,-0.20777777777777778,-0.15222222222222223,-0.2980555555555556,-0.17305555555555557,0.09083333333333338,0.1811111111111111,0.09083333333333338,-0.12444444444444444,-0.22166666666666665,0.0977777777777778,0.4866666666666667,0.31305555555555553,-0.2702777777777778,0.16722222222222222,0.21583333333333338
greek person,-0.155,-0.12722222222222224,-0.10638888888888887,-0.036944444444444446,-0.07166666666666666,0.12277777777777776,0.37972222222222224,0.2269444444444444,0.0,-0.05083333333333334,-0.25916666666666666,-0.23833333333333337,-0.155,-0.3911111111111111,-0.20361111111111108,0.15749999999999997,0.15749999999999997,0.19916666666666666,-0.09250000000000003,-0.25222222222222224,0.1158333333333334,0.48388888888888887,0.2755555555555556,-0.28694444444444445,0.04638888888888887,0.2616666666666666
hispanic person,-0.20138888888888895,-0.16666666666666669,-0.10416666666666663,-0.062499999999999944,0.02083333333333337,0.17361111111111105,0.2847222222222222,0.2361111111111111,0.1597222222222222,0.0,-0.3819444444444444,-0.31249999999999994,-0.24305555555555552,-0.48611111111111116,-0.26388888888888884,0.14583333333333337,0.24305555555555552,0.2152777777777778,-0.006944444444444475,-0.3194444444444444,0.10416666666666663,0.45833333333333326,0.3263888888888889,-0.26388888888888884,0.16666666666666669,0.27777777777777785
