,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
acne covered person,0.0,-0.2460807600950119,-0.45156221450758266,-0.08854497837870756,-0.14815909637106467,-0.06114745112369824,-0.050243616559550563,-0.08169559656495518,-0.0748462147512029,-0.06799683293745051,-0.12279188744746938,0.1491396298966594,0.15118338510262497,0.21282782142639622,0.1443340032888727,0.08268956696510144,0.19912905779889156,0.3498154577014434,0.1785809123576345,-0.0063523966136792565,-0.2697813025714972,0.08268956696510144,-0.06114745112369824,0.027894512455082454,0.055292039710092,0.24707473049515805,0.08268956696510144,0.1443340032888727,0.12378585784761553,0.15118338510262497,-0.26662890553626895,-0.2639604426538634,-0.28032766916377366,0.048442657896339614,-0.18443632377124058,0.16488214873012974,0.1854302941713868,0.0004969852000731301,-0.02005116024118403,-0.17073756014373592
acne ridden person,-0.03731043303489856,0.0,-0.4962190145563067,-0.07155734210366038,-0.02329247776976695,-0.08525610573116515,-0.04695534472907925,-0.030461051221146174,-0.064707960289908,-0.14005116024118403,-0.09895486935866982,0.12535688536409517,0.18186978500517692,0.1476228759364152,0.11337596686765339,0.1407734941226627,0.20241793044643408,0.3531043303489859,0.15447225775016749,-0.07840672391741266,-0.2935640471040615,0.09282782142639623,0.11337596686765339,0.07227967598513918,0.031183385102624972,0.20241793044643408,0.07912905779889157,0.1407734941226627,0.07912905779889157,0.12707473049515805,-0.2838881783299836,-0.3709776294527149,-0.2907375601437359,0.05858091235763452,-0.2907375601437359,0.20241793044643408,0.22296607588769113,0.05173153054388202,-0.07840672391741266,-0.20854497837870756
attractive person,0.021268043120774793,0.06921371581704128,0.0,-0.09517144771301544,-0.1276688296082673,-0.13626773859552965,-0.09042011902514147,-0.012978865947987028,-0.12256897496802477,-0.08147268408551078,-0.1088702113405201,0.1020620043258832,0.15140629758206947,0.12400877032706015,0.06921371581704128,0.08291247944454594,0.04866557037578412,0.2267494975333455,0.06921371581704128,-0.09517144771301544,-0.26280461427541457,0.08291247944454594,0.08976186125829833,0.02811742493452707,0.0966112430720506,0.16510506120957424,0.021268043120774793,0.11031000669955549,0.007569279493269909,0.11715938851330776,-0.25955661124307206,-0.2283019423117949,-0.23215908398806262,0.04866557037578412,-0.21846032036055796,0.1377075339545648,0.0966112430720506,0.06236433400328889,0.014418661307022407,-0.1157195931542725
bald person,-0.1818734393081186,-0.19557220293562338,-0.3188610755831658,0.0,-0.2807666426339822,0.3181314330958036,0.26935507205508413,0.35237834216456543,-0.3325598392106706,-0.3942042755344418,0.33867957853706077,0.1246407113674598,0.14004750593824233,0.07840306961447097,0.09895121505572813,0.07840306961447097,0.14689688775199472,0.34552896035081304,0.09895121505572813,-0.11337962117059508,-0.21319875030040858,0.05100554235946164,-0.044885803033071436,0.01675863329069982,-0.05173518484682382,0.20169194226201348,0.07155368780071869,0.14689688775199472,0.16059565137949938,0.09895121505572813,-0.3257104573969182,-0.30974858574886044,-0.37365613009318477,0.05785492417321403,-0.25036725744564226,0.12634874231073756,0.09895121505572813,0.07155368780071869,-0.06543394847432848,-0.22296973019063276
bearded person,-0.13543859649122802,-0.2585964912280702,-0.2996491228070175,0.015087719298245594,0.0,0.34350877192982465,0.3298245614035087,0.37087719298245614,-0.19017543859649128,-0.32701754385964915,0.31614035087719294,0.08350877192982453,0.17929824561403507,0.08350877192982453,0.09719298245614028,0.08350877192982453,0.12456140350877198,0.3024561403508772,0.19298245614035092,-0.24491228070175441,-0.34070175438596495,-0.025964912280701746,0.056140350877193046,-0.0396491228070176,-0.0396491228070176,0.16561403508771932,-0.012280701754385892,0.028771929824561338,0.16561403508771932,0.20666666666666667,-0.27228070175438596,-0.3543859649122807,-0.28596491228070176,-0.025964912280701746,-0.17649122807017548,0.12456140350877198,0.08350877192982453,0.09719298245614028,-0.14912280701754382,-0.27228070175438596
beautiful person,-0.0976320116937694,-0.07023448443876001,-0.16612582983129304,-0.4606492478226445,-0.49496274933910117,0.0,-0.46010548952583663,-0.37845666605761613,-0.488046775077654,-0.4811973932639016,-0.4537998660088921,0.2888248017303533,0.23798769718009627,0.25168646080760093,0.2585358426213533,0.19004202448382967,0.23113831536634388,0.4366197697789146,0.2996321335038674,-0.07023448443876001,-0.11658255227108871,0.20374078811133445,0.0051087155125160155,0.11469882453255376,0.07360253365003955,0.3201802789451246,0.0530543882087825,0.28593336987636275,0.16949387904257263,0.14894573360131558,-0.25516779341007373,-0.13608320480220104,-0.22777026615506424,0.15579511541506785,-0.18667397527255009,0.25168646080760093,0.21743955173883922,0.15579511541506785,0.046205006395030224,-0.015439429928741144
black haired person,-0.17894747233194014,-0.17894747233194014,-0.28237647317225456,-0.48233920813019565,-0.5509668057319064,0.3588833320376944,0.0,0.3795691322057573,-0.5168155417436338,-0.5443966086343842,0.32440699842425635,0.13828405586794845,0.17271113052512865,0.11754899674362762,0.1382347969116905,0.09686319657556475,0.15892059707975337,0.3726738654830697,0.220977997583942,-0.13068060527312686,-0.15903984521434184,0.15202533035706578,0.06928212968481418,-0.013461070987437318,0.0485963295167513,0.22787326430662957,0.021015262626000952,0.18650166397050383,0.11065373002094003,0.18650166397050383,-0.28237647317225456,-0.2524195151033386,-0.2685859397268794,0.09686319657556475,-0.24100487283612887,0.17960639724781624,0.17271113052512865,0.11065373002094003,-0.07551847149162583,-0.16515693888656496
blonde person,-0.0851233327242828,-0.13306900542054934,-0.297454168950606,-0.5029356233631768,-0.5299206921413122,0.33953833972836356,-0.48882576082665335,0.0,-0.5029356233631768,-0.5097850051769293,-0.2700566416955965,0.24035328046142757,0.25734575796333514,0.13405688531579263,0.2299482307083257,0.1888519398258116,0.20255070345331627,0.4491284487484012,0.25734575796333514,-0.09197271453803524,-0.138026916606585,0.1546050307570498,0.03816553992325966,0.17515317619830684,0.09980997624703092,0.2299482307083257,0.12035812168828797,0.2299482307083257,0.1546050307570498,0.16145441257080217,-0.21526158718557764,-0.20616802308901383,-0.3111529325781107,0.04501492173701194,-0.12621962360679695,0.21624946708082093,0.2299482307083257,0.12035812168828797,-0.0029307509592545467,-0.07827395091053047
brown haired person,-0.22060417808636335,-0.22745355990011568,-0.31649552347889637,0.053371094463731006,-0.10275654890651287,0.3204969852000731,0.27879812561149353,0.32734636701382547,0.0,0.3204969852000731,0.34104513064133013,0.08643354962749339,0.12186491260125465,0.1013167671599976,0.08076862171874055,0.039672330836226344,0.11501553078750226,0.3204969852000731,0.12871429441500704,-0.22060417808636335,-0.3730281182408075,-0.015122723673792637,-0.07676715999756378,-0.0288214873012973,-0.06991777818381151,0.13556367622875942,-0.04252025092880196,0.1013167671599976,0.03282294902247396,0.04652171264997873,-0.25485108715512517,-0.3968228084931083,-0.3301942871064011,-0.015122723673792637,-0.22745355990011568,0.08761800353249283,0.005425421767464522,0.053371094463731006,-0.11786345088007799,-0.25485108715512517
brown skinned person,-0.20918204519154632,-0.13383884524027045,-0.3393202996528412,0.13328704549607162,0.05040374909877443,0.33191911809489005,0.32464266710477596,0.3524672635361472,-0.6064461903891832,0.0,0.3456178817223948,0.06391732756548907,0.12643766368231923,0.0990401364273098,0.0990401364273098,0.10588951824106219,0.16753395456483344,0.33191911809489005,0.1812327181923381,-0.22288080881905115,-0.3144628695025234,0.003148791034776721,-0.07904379073025147,-0.05164626347524215,-0.0037005907789755543,0.20863024544734765,0.02369693647603388,0.13328704549607162,-0.017399354406480327,0.030546318289786267,-0.2708264815153177,-0.3302959935068279,-0.3598684450940983,-0.04479688166148976,-0.202332663377794,0.13328704549607162,0.07164260917230036,0.06479322735854809,-0.09274255435775625,-0.202332663377794
brunette person,-0.0811182167001645,-0.1016663621414215,-0.23865399841646873,-0.5263280345940679,-0.5124561403508772,0.3777903648212436,-0.4707574304889741,0.18600767403617757,-0.5537255618490773,-0.5400267982215726,0.0,0.09565489065128574,0.21340520129118712,0.24080272854619644,0.15861014678116825,0.19970643766368223,0.20655581947743473,0.40518789207625316,0.2682002558012059,-0.13591327121018332,-0.2556981494832973,0.11751385589865404,0.06956818320238756,0.19970643766368223,0.06271880138863506,0.2545014921737012,0.11751385589865404,0.1791582922224252,0.1723089104086729,0.22710396491869178,-0.1907083257202022,-0.25704060439466125,-0.2934490529264876,0.02847189231987335,-0.21125647116145924,0.19970643766368223,0.19970643766368223,0.05586941957488267,-0.03317254400389802,-0.1701601802789452
clean shaven person,-0.15122807017543857,-0.123859649122807,-0.24701754385964914,-0.1101754385964912,-0.0828070175438596,-0.1649122807017544,-0.0828070175438596,-0.123859649122807,-0.09649122807017546,-0.05543859649122812,-0.014385964912280669,0.0,0.27298245614035094,-0.24701754385964914,0.204561403508772,0.06771929824561407,0.3140350877192982,0.5877192982456141,0.27298245614035094,-0.0828070175438596,-0.24701754385964914,0.12245614035087715,-0.014385964912280669,0.05403508771929827,-0.06912280701754386,0.204561403508772,0.08140350877192981,0.21824561403508774,0.05403508771929827,0.204561403508772,-0.19228070175438594,-0.17859649122807017,-0.2333333333333333,-0.041754385964912266,-0.17859649122807017,0.136140350877193,0.17719298245614035,-0.09649122807017546,-0.0007017543859649256,-0.13754385964912283
curly haired person,-0.1290748523052561,-0.15647237956026552,-0.2729118703940556,-0.10167732505024668,-0.15435712569093965,-0.08797856142274191,-0.0931100774129319,-0.11537608867775137,-0.10852670686399901,-0.09482794323649432,-0.10852670686399901,0.03483297284306658,0.0,-0.17017114318777027,0.17229794749984778,0.158599183872343,0.21339423838236188,0.6175077653937511,0.28873743833363785,-0.10167732505024668,-0.18138428262436915,0.15174980205859068,0.014762165783543446,-0.05373165235398014,-0.01948474328521832,0.31613496558864723,0.09010536573481942,0.0764066021073147,0.0558584566660576,0.10380412936232414,-0.21126743407028445,-0.2654623565212487,-0.19071928862902737,0.04215969303855288,-0.10852670686399901,0.22024362019611426,0.17914732931360006,0.04215969303855288,-0.06743041598148486,-0.13592423411900845
