,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
acne covered person,,2.1969814292169143e-09,6.976125979604975e-29,0.03086547938046218,0.010565126444295365,0.14255535861527296,0.2260128783666177,0.04708491473490378,0.06993026452799711,0.10115183064155142,0.002481473923945798,0.007413506541414426,9.5351234999857e-05,1.9705624066866743e-08,0.00019691141360322797,0.038601585102636074,1.572227506141138e-07,4.265264630802383e-25,3.8031134009337987e-06,0.8635852842327435,2.6824422360210715e-06,0.038601585102636074,0.14255535861527296,0.5463927882883857,0.1690471715189833,3.3030217302404014e-11,0.038601585102636074,0.00019691141360322797,0.0018216377248072469,9.5351234999857e-05,6.900906343747937e-11,1.1592985204902115e-10,9.110702908691957e-12,0.2290829706123213,6.062664610124597e-06,2.029468364854387e-05,1.0983651724352278e-06,1.0,0.6062504717178399,2.995460674762733e-05
acne ridden person,0.3454962795735782,,5.137974145168152e-35,0.08497010807993718,0.717337195132167,0.038610712460858856,0.26183797527102604,0.4402055718415143,0.12117888497536858,0.0005549172883034393,0.01575830949988419,0.028972298985515715,2.5783556406693472e-06,0.0001427959163404905,0.004393475681259702,0.0003840983965031988,1.0202262775568004e-07,1.9094554149830809e-25,6.823224735857403e-05,0.058042869696163,3.5608728747476235e-07,0.020090753901842173,0.004393475681259702,0.07123987956472816,0.4914218259869981,1.0202262775568004e-07,0.04802223926863497,0.0003840983965031988,0.04802223926863497,0.001378259705323532,5.217360237995268e-12,1.2711245377203226e-19,1.3928123854484044e-12,0.14471543731421754,1.3928123854484044e-12,1.0202262775568004e-07,4.139693456078747e-09,0.22828068122753953,0.058042869696163,4.1608705038892456e-07
attractive person,0.6177956384725685,0.04568807313773496,,0.00701035562991017,0.011241313151934357,0.00019093336772314882,0.011955404526257764,0.6903945319593926,0.0006432066342820489,0.02144015423111247,0.0025865326185603226,0.03490916085249739,1.831147680881851e-06,0.00013115624692221865,0.04568807313773496,0.016193153605372552,0.1637034938527436,5.5049069541825503e-17,0.04568807313773496,0.00701035562991017,6.895695443931922e-07,0.016193153605372552,0.009111163079019276,0.4847007015195506,0.003702539824068988,1.1480629467623022e-07,0.6177956384725685,0.0009055920505404015,0.9205301485004704,0.0003063941400203743,4.100078131316542e-12,1.1772697164220683e-09,4.105550024570627e-10,0.1637034938527436,5.155765842765182e-09,1.4743980883307101e-05,0.003702539824068988,0.07252943329160891,0.7646899295769928,0.001309638130423714
bald person,1.0732569626756088e-05,2.0047235344390774e-06,7.411392340634117e-15,,1.5369192949927084e-06,8.843117032363955e-19,4.954972433050911e-13,4.972049412927206e-24,6.385573687115891e-16,3.9886154676754174e-22,9.871205153324576e-22,0.03025878487141271,0.0004261023525897666,0.05982789712701447,0.01321881195670932,0.05982789712701447,0.00021663828302939615,5.958134790402081e-23,0.01321881195670932,0.006086680531066657,0.000261689999181624,0.23167473664845425,0.2676832430522539,0.732794805682883,0.20089802832273623,1.9709122198963495e-07,0.08720644970337248,0.00021663828302939615,3.745531444280136e-05,0.01321881195670932,1.7695552989968687e-15,5.3600345074962253e-14,5.627199503866814e-20,0.17152286692398117,1.0831297258304286e-09,0.001506615245940012,0.01321881195670932,0.08720644970337248,0.105190870630403,7.35625526872663e-08
bearded person,0.020189316548897315,8.020727680598298e-06,2.683605173753873e-07,0.9031675469188749,,2.6120236790787126e-12,2.7700563702338192e-11,1.980282527453702e-15,0.0009482164235893201,1.558526814709433e-08,3.98523993836137e-10,0.1456096987467124,0.0013730169635663538,0.1456096987467124,0.08900653393341856,0.1456096987467124,0.02814020317070985,2.7356550280096757e-09,0.00037496335292697125,2.507974403728799e-05,5.319188713989323e-09,0.6287564908250791,0.33329530039285027,0.46833909900325654,0.46833909900325654,0.003205785308652744,0.808978296450606,0.7150856848492326,0.003205785308652744,0.00013366322886159922,2.447065923755012e-06,1.0089042259690454e-09,1.0511023383913705e-06,0.6287564908250791,0.002209211387009718,0.02814020317070985,0.1456096987467124,0.08900653393341856,0.010201605227211342,2.447065923755012e-06
beautiful person,0.020252756730851917,0.09769553290562272,6.305511135714429e-05,5.699670016880447e-33,5.496385707875175e-21,,1.1057220823841372e-32,2.0275706329508093e-21,2.9055084415451826e-38,7.375780967713599e-37,4.798494120194242e-32,5.114893109431245e-07,6.042879545713245e-09,6.921960346162066e-10,2.2232271333326132e-10,4.186883893397029e-06,1.6963399506766914e-08,1.2949636201324126e-30,6.955458954038362e-14,0.09769553290562272,0.04818716090426683,7.579897045148541e-07,0.9341111625395315,0.006148646838672653,0.08202022463565067,8.578278494123322e-16,0.21454363849492392,1.6444085997763218e-12,4.324268402269272e-05,0.00034263625775570274,4.3709951198602023e-10,0.001144636195248288,2.984311901141653e-08,0.00017689374961417758,6.451792816116116e-06,6.921960346162066e-10,1.2098754051831619e-07,0.00017689374961417758,0.2821743663847671,0.7408002605769137
black haired person,1.5311929843268757e-05,1.5311929843268757e-05,8.87903257472053e-12,1.4318091769184246e-33,3.0287985003639836e-24,2.908144304089019e-22,,1.7018820406795667e-25,2.3915780389917838e-39,1.506975859358154e-44,8.54141468184117e-18,0.01787773804846298,2.1260257931910798e-05,0.004090603585430281,0.0007091499805469664,0.01830952306895814,9.455851681330467e-05,2.0045973014647084e-24,2.6281440703742154e-08,0.0017531793328712198,0.0064826215900647905,0.00019065346823359262,0.09271385787778119,0.7371018118958156,0.2398531711090589,9.235527126413888e-09,0.673793427172149,2.9684393510494095e-06,0.006930733264244161,2.9684393510494095e-06,8.87903257472053e-12,1.581938259833013e-09,1.0173425682885165e-10,0.01830952306895814,5.8261770517683266e-09,6.913656305735418e-06,2.1260257931910798e-05,0.006930733264244161,0.07659760636196608,6.820673229784163e-05
blonde person,0.04644822195078635,0.0015631893445979465,2.5674517851465875e-13,9.796443967749271e-41,4.579546801542838e-25,6.569164796777794e-18,2.0260852692239916e-37,,9.796443967749271e-41,2.5917314770132346e-42,4.0419718488475846e-11,3.3760643981094344e-05,2.1888227434915012e-10,0.0011902518121075952,1.6886938047741888e-08,4.208621893283845e-06,7.601428273294841e-07,1.3912566968610377e-33,2.1888227434915012e-10,0.030927221269041877,0.019657193952062668,0.00017828110479826303,0.36346139699243163,2.0598656196531728e-05,0.01625376659184758,1.6886938047741888e-08,0.0036713170033314674,1.6886938047741888e-08,0.00017828110479826303,8.941832078290567e-05,1.9380250405726306e-07,6.943383666549004e-07,1.6427690294078632e-14,0.2827153862810893,0.0027476691333931094,1.209420523223607e-07,1.6886938047741888e-08,0.0036713170033314674,1.0,0.0680376067597073
brown haired person,7.701615313894872e-08,2.7680087769585266e-08,1.1044935115847527e-14,0.19391653597817893,0.06842316711276492,1.2089447838880192e-20,9.216425663011251e-15,1.2231846776548102e-21,,1.2089447838880192e-20,2.4263092492674885e-24,0.14369954280647168,0.0017565217560903464,0.01170499373836582,0.04594305694741714,0.34112843457138264,0.003166782465350101,1.2089447838880192e-20,0.0009445933863222401,7.701615313894872e-08,7.530180273426226e-11,0.7290692023823544,0.05657994325768023,0.4884279906221224,0.0830826284820898,0.0004923975377945161,0.298616042467718,0.01170499373836582,0.4362010249977707,0.2604129826531137,5.511391323563315e-10,2.8561531953711636e-22,5.675914343037654e-16,0.7290692023823544,2.7680087769585266e-08,0.02995370867526327,0.9311003576970875,0.19391653597817893,0.0040813383262607895,5.511391323563315e-10
brown skinned person,3.0983813626314607e-07,0.001067780299999435,1.0993162749059178e-16,0.0007758852734305918,0.40115205060830256,4.516957984897164e-21,6.415781603660715e-20,1.0661249658626863e-24,2.5403864455986608e-55,,2.497088114230259e-23,0.2799451563178383,0.0014435575249443643,0.012866271494283293,0.012866271494283293,0.007780049635815474,1.5570015018209266e-05,4.516957984897164e-21,2.854213453221772e-06,6.570391855723808e-08,4.771462760426425e-08,1.0,0.04907167989201758,0.19934185363031448,0.931826624635542,4.26922465093047e-08,0.6072323111269777,0.0007758852734305918,0.6688366114051325,0.4930445463013962,4.4253986694502435e-11,9.167600690619843e-16,1.3780820336367362e-18,0.2660219700605341,7.682075532425614e-07,0.0007758852734305918,0.0860634191358809,0.122505411500987,0.02547859162418308,7.682075532425614e-07
