,aboriginal person,argentian person,asian person,bengali person,black person,brazilian person,caucasian person,egyptian person,indigenous person,indonesian person,moroccan person,nepali person,spanish person,white american person
aboriginal person,,1.0634548680396443e-14,9.610219302035563e-30,0.0003284751075769391,0.00016301864710623352,0.0680011627289494,1.4584740549224373e-08,3.201294878782673e-09,3.0610833047099726e-06,5.02127190560181e-07,8.246350762482231e-07,2.115971301905804e-22,0.1396155425687988,0.8617472693735148
argentian person,4.8330911186279934e-20,,1.0907023255169936e-28,0.00022699538879078794,0.00011342515116255036,0.00022699538879078794,1.6789615489788693e-18,9.911569670874418e-16,5.1751826227591404e-06,1.358122816049708e-07,3.59266028824514e-11,1.0437579785171278e-14,0.12413802020990396,0.007993534040566908
asian person,0.03735865988121337,1.6497528415484893e-10,,0.8432172231566817,0.13805399564907828,0.37461613941722155,3.648292245677481e-13,9.841669264685791e-08,3.238155160249042e-07,5.267090575233868e-08,0.0925121410107094,2.6498653180974928e-30,0.23513155464024332,0.05985041522686379
bengali person,2.0197827241873033e-06,0.4937692698338959,2.8523954780540635e-06,,0.001467089509348205,8.507305263548029e-49,1.0606295858721524e-09,1.457074898884616e-11,2.391398387361643e-12,1.2188395501053638e-07,0.0001068940175869585,1.7264285116560064e-19,7.135819639759207e-05,0.6684025701387932
black person,9.14830593582906e-06,0.7303869316622296,3.825762454247937e-09,0.547487099198793,,3.823246504832362e-55,4.791021026835042e-10,2.0784212836416995e-11,2.0585775559249702e-05,7.976634006483958e-10,6.626881499746067e-07,2.837300879007003e-22,0.0013817306625157383,0.6051857832936818
brazilian person,0.9273594435317039,0.017243823763474556,0.005785593328205184,4.39630798814229e-19,1.0678365380022158e-21,,7.525965748764247e-18,2.3074083371407896e-19,0.007934190324670744,2.233356866724605e-05,5.724223993418849e-07,2.5441087071526566e-09,0.6485088616633825,3.385494153897438e-05
caucasian person,0.13104947496548414,0.6156259731984108,5.626911376866542e-12,0.006453148887998066,0.0017853146968390143,0.0005711882352421662,,2.315949461028835e-14,2.025501882518843e-05,0.0024095309991210025,4.661280233016012e-06,1.2647029575294995e-09,0.044775386296440456,0.9200461705144632
egyptian person,0.07090147011935652,0.9201602677435154,5.593874736366689e-07,0.05669899894688555,0.012288080994414061,0.0025060233860242183,6.818849006294869e-13,,5.127261274564163e-05,5.087584511502336e-06,5.829574031448135e-07,1.6595764515053138e-10,0.044560991374618546,0.1922716845754889
indigenous person,0.024743154230827853,0.07324062927821393,2.6401777564415797e-09,3.759690519726528e-06,0.019593354583222845,0.00117557897608142,2.616465626293909e-12,1.1079029514656113e-11,,2.8309743606192096e-15,9.09558531340901e-06,3.7532199103600573e-22,0.015288779293605118,0.9285812642424387
indonesian person,0.004046558080174069,0.11675966955973327,3.044010045914642e-11,0.05233982749712857,0.0008459266778964734,9.241606639922878e-05,6.993953935238329e-07,2.4476818610949565e-10,0.19604972961720285,,1.8729943359747871e-06,5.5510483201199344e-36,0.0005918876381912204,0.033444693420375024
moroccan person,0.0013962704236477165,0.46748035373156355,0.00017080695390777435,0.017802532969352178,0.08461881756024295,6.9115090978160765e-06,1.2580796418506968e-13,5.044455280757569e-12,5.7681363963175074e-05,1.5149227573183158e-07,,2.3829075720397656e-12,0.2754919472732337,0.7853911772011599
nepali person,0.0065741471927814035,0.8136409698124958,2.041298360273802e-08,0.12417397063715782,0.003074035038233988,0.19369401083186033,0.00013470099599291745,4.5822308304646796e-05,1.519028950623439e-05,0.024447737123156857,0.017829730052835252,,0.47952704061879303,0.19369401083186033
spanish person,0.0010194283010141968,0.3899619264988598,1.7924750822912977e-13,0.00020473356662320405,0.0007764119957457815,0.02503440920555746,6.4455382613381726e-12,6.4455382613381726e-12,0.0002779166745617276,0.0002779166745617276,0.00020473356662320405,6.663193941602764e-26,,0.12138090256536381
white american person,0.07275400102617721,0.9320227695679715,6.486351866429636e-13,0.016859852705414218,0.00010982386218526196,0.060608889077162345,1.059832201311854e-16,9.543398208235323e-12,0.0027040468926727004,3.617213705170645e-09,5.033009485741937e-08,1.9973763402824886e-20,0.020910519976898564,
