,actor,athlete,bartender,begger,chef,clerk,clown,coal mines person,commander,construction worker,cop,countryside person,delivery person,doctor,electrician,engineer,farmer,fashion model,firefighter,fisherman,fisherwoman,ghetto person,handyman,handywoman,hillibilly,hillibilly person,janitor,journalist,laborer,lawyer,mafia,mafia person,maid,mechanic,nurse,painter,pastor,physician,pilot,plumber,police officer,poor person,poverty stricken person,professor,rich person,rockstar,rural person,scientist,soldier,sports player,teacher,tennis player,thug,trash collector,umpire,urban person,waiter,waitress,wealthy person
actor,0.0,0.22529982476385868,0.08260717185964017,0.2456844894644612,-0.365855451553618,0.3204282600333376,-0.49495832799076805,-0.2843167927512074,0.3068384835662692,0.1355807950438822,-0.35226567508654955,-0.35226567508654955,-0.270727016284139,-0.46777877505663124,0.2796589306321323,0.1981202718297217,0.2932487070992008,0.2660691541650638,-0.18239346924819422,0.05489966979933958,-0.12008466683600039,-0.31149634568534423,-0.5238946744560156,-0.6315773431546863,-0.2816086698840064,-0.5508153416306832,0.2456844894644612,0.3068384835662692,0.31363337179980344,0.30004359533273495,0.09528067056134115,-0.402751672170011,0.2796589306321323,0.2932487070992008,-0.33867589861948116,0.2728640423985981,0.3204282600333376,-0.10764969867931784,0.07581228362610593,0.31363337179980344,-0.48816343975723386,-0.30470145745181004,-0.34547078685301535,0.2728640423985981,-0.2639321280506048,0.22529982476385868,-0.12123947514638633,0.14376116596144806,-0.08726503397871521,0.2796589306321323,0.31363337179980344,0.17094071889558493,0.33401803650040596,0.3272231482668718,0.31363337179980344,-0.5289327691584391,0.21642367284734565,-0.4969740072813479,-0.45418899858956274
athlete,-0.4403273924007351,0.0,0.09646877804846776,0.14403299568320727,-0.21609608069410607,0.1032636662820019,-0.3384040688977219,-0.21609608069410607,0.13723810744967313,0.059796076406814724,-0.3044296277300508,-0.22968585716117446,-0.10737786895755869,-0.3180194041971193,-0.1005829807240245,-0.16853186305936663,0.09646877804846776,0.3071103132880284,-0.23648074539470876,0.1628515790364914,0.055168910337820676,-0.06660853955635337,-0.41594276521886375,-0.5101651003302006,-0.13327575988485307,-0.42940309880619765,-0.046223874855750746,0.2255716544856179,0.37505919562337053,0.15762277215027565,0.23015324697316064,-0.3351807636948607,0.23916143095268627,0.3886489720904389,-0.22289096892764027,0.4022387485575073,0.4226234132581099,-0.21609608069410607,0.14403299568320727,0.3682643073898363,-0.33160918066418776,-0.18212163952643506,-0.1413523101252297,-0.05981365132281913,-0.18891652775996925,0.06249433688079675,-0.05301876308928494,0.13044321921613877,-0.11417275719109288,0.36146941915630215,0.3818540838569048,0.18480232508441252,0.40903363679104154,0.3886489720904389,0.33428986622216517,-0.4131478394665983,0.04170857675048689,-0.3755617644568623,-0.34519895713125615
bartender,-0.2891721160832585,-0.18045390434671116,0.0,0.3291627131683549,-0.36391588665213487,0.03698251912638373,-0.4386596572210112,-0.11929991024490322,0.16608539556353374,-0.05485544656685598,-0.21442834551438217,-0.2687874513826559,-0.1260947984784374,-0.38430055135273755,0.05736718382698636,-0.06494080437662947,0.15249561909646536,0.26121383083301275,-0.2687874513826559,0.10393192786385574,-0.030671408009482648,-0.11250502201136897,-0.40756074845483026,-0.5017830835661671,-0.1518144102954873,-0.3941004148674964,0.11852117792879424,0.20005983673120475,0.32236782493482075,0.18647006026413637,0.22507493014986035,-0.2729574125814918,0.268008719066547,0.424291148437834,-0.2823772278497243,0.38352181903662863,0.3495473778689575,-0.16006923964610842,0.172880283797068,0.40390648373723126,-0.3299414454844638,-0.15327435141257423,-0.17365901611317697,0.0641620720605206,-0.16686412787964272,0.0641620720605206,-0.07853058084369785,0.14570073086293123,-0.18045390434671116,0.3291627131683549,0.36993204256956025,0.08454673676112323,0.397111595503697,0.3903167072701629,0.34275248963542326,-0.4386596572210112,0.19815426297519256,-0.34025908051816106,-0.3775056631192033
begger,-0.3624943368807967,-0.1382630251741676,-0.3149301192460572,0.0,-0.2673659016113177,0.018019404197119282,-0.29454545454545455,-0.14505791340770186,0.0995580629995298,0.0964446738943383,-0.34890456041372825,-0.07031414283882548,-0.0023652605034833463,-0.34890456041372825,-0.17223746634183867,-0.26057101337778343,-0.03633970167115441,0.33737915117322737,-0.308135231012523,0.28705444077554815,0.11207010414020835,-0.09069880753942816,-0.3186605706544746,-0.4398035729404792,-0.08983489966979935,-0.3455812378291423,-0.09069880753942816,0.35096892764029575,0.37814848057443257,0.1471222806342694,0.2601337736008805,-0.1436762340191347,0.11314783946659834,0.4596871393768432,-0.23339146044364664,0.5140462452451169,0.45289225114330894,-0.32172500747959143,0.14032739240073516,0.45289225114330894,-0.32172500747959143,-0.10428858400649654,-0.13146813694063342,-0.07710903107235967,-0.07710903107235967,-0.08390391930589397,0.04519895713125616,0.11994272770013248,-0.20621190750950977,0.41212292174210374,0.39853314527503525,0.1063529512330641,0.4325075864427063,0.4257126982091721,0.35776381587383005,-0.3692892251143309,-0.06291423249513167,-0.2109779019558039,-0.19941701927597555
chef,0.01504124460400913,-0.012138308330127856,0.14414412104115903,0.1373492328076249,0.0,0.1373492328076249,-0.2907287259050306,-0.35188272000683846,0.1849134504423644,0.19077181208053684,-0.012138308330127856,-0.3858571611745096,-0.28393383767149627,-0.24316450827029107,0.13055434457409065,0.11016967987348802,0.15093900927469328,0.2324776680771039,0.16452878574176177,-0.03894335788671577,-0.2946896960460587,-0.35188272000683846,-0.523515367030734,-0.6446583693167386,-0.4023723647447295,-0.5504360342054018,0.13055434457409065,0.2460674445441724,0.22568277984356966,0.19850322690943278,0.001437642875285805,-0.4292930319193971,0.19850322690943278,0.3072214386459803,-0.18880540240201732,0.2936316621789118,0.27324699747830916,0.14414412104115903,0.2664521092447749,0.2664521092447749,-0.2295747318032227,-0.35188272000683846,-0.33829294353977,0.12375945634055652,-0.2771389494379621,0.10337479163995389,-0.20239517886908576,0.21209300337650128,0.08978501517288551,0.23927255631063815,0.2664521092447749,0.1373492328076249,0.2936316621789118,0.2800418857118434,0.25286233277770653,-0.5353447023122623,0.14950131233595798,-0.5100550334434002,-0.4538060435098517
clerk,-0.4753199128093345,-0.13557550113262384,-0.060831730563747466,0.04788648117279992,-0.3054477069709792,0.0,-0.3530119246057187,-0.16275505406676072,0.13622002820874468,0.1951600413009809,-0.38019147753985555,-0.12198572466555546,-0.0744215070308159,-0.3733965893063213,-0.03365217762961065,-0.2510886011027055,-0.013267512929008018,0.24493823994529212,-0.28506304227037654,0.195494030988062,0.14165269663872665,-0.0812163952643501,-0.39676064685462703,-0.41022098044196087,0.007049360765388202,-0.3833003132672932,0.00032226353806047436,0.35365645168183957,0.3060922340471,0.17019446937641575,0.23587503175006347,-0.20831597663195323,0.18378424584348418,0.42840022225071583,-0.23749882463563704,0.4691695516519212,0.4487848869513185,-0.3122425952045134,0.18378424584348418,0.4216053340171817,-0.332627259905116,-0.14237038936615803,-0.13557550113262384,-0.11519083643202116,-0.12198572466555546,-0.060831730563747466,-0.06762661879728171,0.21096379877762106,-0.14916527759969223,0.37404111638244225,0.38763089284951063,0.18378424584348418,0.4216053340171817,0.4487848869513185,0.35365645168183957,-0.3666017010727871,-0.07371264075861483,-0.2890779781559563,-0.2239090481685686
clown,0.09208616489293497,0.05811172372526385,0.16682993546181135,0.1124708295935376,-0.1253502585801598,0.13285549429414023,0.0,-0.5058639996580758,0.20080437662948236,0.20027706074685936,0.037727059024661336,-0.5126588878916101,-0.28163268795144675,-0.07778604094542041,0.18721460016241398,0.20080437662948236,0.21439415309655074,0.18721460016241398,0.07170150019233235,0.017177207687748774,-0.21164846329692655,-0.28842757618498094,-0.5481568029802727,-0.7366014732029464,-0.3058707984082634,-0.6558394716789434,0.21439415309655074,0.20080437662948236,0.2551634824977561,0.19400948839594823,-0.07704512742358816,-0.41355346710693425,0.20080437662948236,0.24836859426422198,-0.11176048211309142,0.26195837073129036,0.2551634824977561,0.2075992648630166,0.19400948839594823,0.24157370603068773,-0.1253502585801598,-0.40394067615506263,-0.40394067615506263,0.1736248236953456,-0.3767611232209258,0.15324015899474297,-0.29522246441851524,0.20080437662948236,0.11926571782707185,0.21439415309655074,0.24157370603068773,0.13965038252767448,0.22798392956361935,0.24157370603068773,0.26195837073129036,-0.6213770996281575,0.2190822114977563,-0.4943154686309372,-0.5602231055263496
coal mines person,-0.0035406248664359152,0.050818481001837834,-0.037515066034106925,0.07799803393597471,0.050818481001837834,0.05761336923537208,0.1527418045048511,0.0,-0.01033551309997005,0.07589055240061948,0.07120314570244046,-0.5811061247168441,0.016844039834166713,0.07120314570244046,0.05761336923537208,0.07120314570244046,0.07799803393597471,0.016844039834166713,0.03722870453476945,0.05033443400220128,0.22531877063754124,-0.0646946189682438,-0.47461857590381845,-0.5284599102531538,-0.24579290491914313,-0.2996342392684785,0.05761336923537208,0.03722870453476945,0.050818481001837834,0.030433816301235095,0.09071543476420285,0.05033443400220128,0.05761336923537208,0.02363892806770096,0.13235713980424846,0.05761336923537208,0.016844039834166713,0.016844039834166713,0.1527418045048511,0.06440825746890633,0.09158781040304309,-0.05110484250117542,-0.13943838953712018,0.02363892806770096,-0.07828439543531218,0.08479292216950884,0.0440235927683037,0.11197247510364583,0.11876736333717997,0.016844039834166713,0.09158781040304309,0.09838269863657734,0.03722870453476945,0.09158781040304309,0.10517758687011147,-0.4791828012138308,-0.13811023622047247,-0.15157056980780625,-0.3364901483096124
commander,-0.41800658204043256,-0.12582638799846135,-0.14621105269906398,0.01007137667222291,-0.3092883703038851,-0.06467239389665341,-0.37723725263922725,-0.05108261742958503,0.0,-0.02102736189984511,-0.3500576997050904,-0.1665957173996666,-0.05108261742958503,-0.33646792323802194,-0.12582638799846135,-0.22095482326794033,0.09161003547463348,0.24109757661238623,-0.30249348207035087,0.2791821183642367,0.07727711455422914,0.0032764884386887183,-0.420755228177123,-0.4072948945897892,-0.043865887731775466,-0.32653289306578615,-0.11223661153139292,0.3226362354147968,0.3566106765824678,0.11199470017523616,0.2926424519515705,-0.17846922360511386,0.2750720177800573,0.47212377655254945,-0.241339487968543,0.5060982177202205,0.47212377655254945,-0.33646792323802194,0.14596914134290723,0.47212377655254945,-0.3228781467709535,-0.09864683506432448,-0.07826217036372185,-0.1190314997649271,-0.05108261742958503,-0.030697952728982347,0.016866264905757156,0.11199470017523616,-0.18698038210026924,0.30904645894772836,0.42455955891780994,0.173148694277044,0.4993033294866863,0.4449442236184126,0.37020045304953625,-0.33646792323802194,-0.2188502243671154,-0.2053898907797816,-0.26851904090267986
construction worker,-0.30394940629839956,-0.10557563242127,0.01755291688177596,-0.04401135776974707,-0.3723541559112029,-0.18082085699535366,-0.43391843056272583,-0.1945018069179143,0.07911719153329899,0.0,-0.2629065565307176,-0.25606608156943733,-0.14661848218895196,-0.3586732059886423,-0.08505420753742904,-0.0918946824987093,0.07227671657201856,0.37325761486835307,-0.24238513164687664,0.3033239580669906,-0.013193943016261811,-0.08505420753742904,-0.3428125799028381,-0.4360755361011017,-0.10051137816415234,-0.39515151096385914,-0.023489932885906062,0.3185338151781105,0.3048528652555498,0.1543624161073825,0.1956345350720191,-0.20417272699006045,0.2706504904491482,0.4348218895198761,-0.26974703149199797,0.4621837893649974,0.4416623644811564,-0.126097057305111,0.14752194114610218,0.42114093959731547,-0.3518327310273619,-0.11925658234383063,-0.18082085699535366,-0.002968508002065051,-0.13293753226639127,0.05175529168817755,0.0038719669592153227,0.11331956633970058,-0.14661848218895196,0.32537429013939084,0.44850283944243674,0.2364481156427466,0.45534331440371706,0.4348218895198761,0.35957666494579243,-0.39287558079504387,-0.19473962328475247,-0.32694480240178825,-0.25606608156943733
