,actor,athlete,bartender,begger,chef,clerk,clown,coal mines person,commander,construction worker,cop,countryside person,delivery person,doctor,electrician,engineer,farmer,fashion model,firefighter,fisherman,fisherwoman,ghetto person,handyman,handywoman,hillibilly,hillibilly person,janitor,journalist,laborer,lawyer,mafia,mafia person,maid,mechanic,nurse,painter,pastor,physician,pilot,plumber,police officer,poor person,poverty stricken person,professor,rich person,rockstar,rural person,scientist,soldier,sports player,teacher,tennis player,thug,trash collector,umpire,urban person,waiter,waitress,wealthy person
actor,,0.019267304178908186,0.9283967027098721,2.1577734138235717e-06,7.763538163614161e-14,3.7456157366570665e-13,1.747319223037302e-49,0.4719470540374935,3.669761382786748e-18,0.004922574999346877,1.8684670834413163e-21,1.517262457623955e-27,0.1256742389110051,2.3089157149506003e-28,2.1958376805186215e-08,9.599318644993279e-05,6.792151493903129e-08,7.336498977202254e-15,1.8605269982430693e-19,0.02181517364439461,0.0005165793754910914,0.36856670625853616,0.37641942255017613,9.661787934647122e-33,1.000491803105036e-05,9.403900923448544e-30,5.683734474550039e-11,5.2224747743344284e-17,4.278908753112537e-14,3.669761382786748e-18,3.4226135841592255e-05,1.000491803105036e-05,6.488468412899779e-16,3.7456157366570665e-13,2.0294474435975314e-24,1.3402454546514612e-11,6.488468412899779e-16,0.005101751908988284,0.011615381456928683,7.336498977202254e-15,1.6191626564587283e-34,0.8572954057916743,0.7191154101739929,1.2744340842006937e-09,0.002869103186834851,6.792151493903129e-08,0.7191154101739929,4.329706999912148e-05,2.0377985301325367e-07,3.7456157366570665e-13,1.3402454546514612e-11,0.08682202191572973,3.0104385336490066e-22,3.531900442646015e-19,5.2224747743344284e-17,1.354207728200495e-54,0.00033385976949391,3.0238760845645225e-19,8.265467183861877e-21
athlete,5.424430870760629e-24,,0.4465367538568763,0.2712877083708909,0.0029048010215997778,0.20416582567835131,8.680424139793103e-34,0.5538985345905711,8.677187610100044e-05,0.6714887185502008,1.2109868617622249e-15,5.743030717368641e-14,0.0006712902424972976,7.079286780852417e-19,0.017674955248704736,0.003959507508514676,0.7350241814877376,4.870493030179227e-10,5.883665850015974e-17,1.0,0.15356156993441428,0.0022585008626833927,0.09585188850343904,5.512685663805937e-19,0.0026368876452045865,3.2167261604266453e-21,0.001249778720939312,1.1671257825950174e-11,4.5421010238407745e-13,4.870493030179227e-10,1.6191793715819263e-13,2.590499062225309e-08,0.001249778720939312,3.00020636467738e-15,8.493052383525823e-13,2.303567515528011e-21,3.00020636467738e-15,6.38733412405856e-07,2.6167677479024895e-06,3.00020636467738e-15,1.519807843288128e-25,0.35206814479859616,0.07509570573395333,0.001249778720939312,0.12749153089512222,0.021911947629821425,8.523522436640344e-06,0.00017691765979879209,2.5895994048821735e-10,1.0636044700605041e-13,5.749637523038021e-16,0.0006712902424972976,1.3791551303652737e-23,1.3791551303652737e-23,3.00020636467738e-15,8.680424139793103e-34,0.032196716246359,9.097488523082847e-12,1.4610906328720306e-14
bartender,2.0240849674517246e-13,4.194260177151964e-09,,5.804564745179613e-15,1.9631006957602372e-18,0.11226732690572999,2.649828212681165e-40,0.07905742583084208,2.154470817156304e-06,0.9330313769495686,6.245401358253411e-12,1.2249203945978693e-14,0.00028767841839082256,3.274499486233102e-25,0.07905742583084208,0.21004108511953123,0.8021055083377278,2.154470817156304e-06,1.786953448446258e-12,0.8138398012026138,7.587218628710616e-05,0.5027374181723205,0.8138398012026138,1.7617892087706927e-19,0.000908513627847787,2.2219098521087196e-18,0.0010270429972180262,4.479376359836616e-10,3.935323777048504e-11,3.935323777048504e-11,3.3245472573481376e-07,1.834223496305761e-08,0.00014572924757234106,4.486070376974232e-18,1.2249203945978693e-14,4.486070376974232e-18,4.486070376974232e-18,0.002454167503800922,3.422599060523272e-05,8.858176555960185e-21,2.415086646840483e-24,0.023687941129450593,0.009294146805998424,0.0032682908050908057,0.13116843408873047,0.0010270429972180262,0.05428617823505682,0.03633154676205619,5.442212162091793e-07,5.0840840573924445e-08,1.1323810252915051e-21,0.24060878819856335,1.2281871318015978e-15,1.1323810252915051e-21,1.2281871318015978e-15,5.797848886632286e-47,0.41038821321992963,2.3902597940237668e-14,2.5270584631643597e-16
begger,3.1559759739951556e-21,9.69679963530948e-05,6.481158997153844e-23,,4.762662641730131e-05,0.08362164531061755,3.1559759739951556e-21,0.0028900154945548893,0.03181660694824221,0.008029310763653055,1.2501489873189972e-27,8.662553609852144e-10,4.755652971847892e-10,2.007843006373204e-17,5.485911275552341e-08,2.8195701365731316e-10,0.058035237382151314,0.00815710087403413,9.335928716533492e-15,0.014580542198254616,0.1039835005927226,0.013174580439916556,0.7287790644188878,9.473229556046736e-15,0.03622304597138352,5.391374591196269e-17,0.3653859162203196,6.904169789008276e-06,1.677944125596994e-22,2.1961976120618215e-07,4.074087837450521e-14,0.0001664906671636141,0.0049200850658707405,1.9996791968480245e-31,4.7337359836484536e-06,3.367527433355437e-29,3.4538053938870445e-25,1.5552407864457503e-13,1.3097523572987706e-06,3.367527433355437e-29,6.481158997153844e-23,3.227549592071978e-05,3.0532157551704517e-06,0.3653859162203196,0.24854239239711617,0.40998165958638266,2.1961976120618215e-07,0.13773695668598196,7.841893612138882e-12,0.0001342172625966417,1.1664587509901213e-21,0.013174580439916556,1.5720253846819273e-18,1.1664587509901213e-21,4.6787193331012506e-11,6.481158997153844e-23,0.1039835005927226,0.001032437299575506,1.4249882573169955e-07
chef,0.0019133767541921467,1.3304327900206895e-07,0.20306530396038758,0.23752527818388858,,0.0005285608641316219,1.309842862262988e-46,0.017717819134730906,8.255293045751837e-08,3.53694755406705e-07,0.0010197869287784688,3.620428445427746e-35,0.14553841456840835,4.704734518630436e-08,0.0005285608641316219,5.3839846651641045e-05,2.3515078841615644e-05,2.673579025820728e-06,0.06854905626673222,8.914793441873753e-06,2.1492879504535764e-08,0.03675898695332081,7.979388290448959e-09,3.049113624147175e-32,4.0550536121436596e-06,3.049113624147175e-32,0.00025563135954673915,4.125422993368257e-10,1.4958441858885068e-09,8.255293045751837e-08,0.0002681980610441033,1.6887964200680848e-15,5.349023684702724e-09,4.202322046433152e-17,1.646506504904132e-08,4.174911346197482e-14,2.496161891286376e-18,0.0005285608641316219,4.125422993368257e-10,1.5149854758156362e-11,2.643678344916002e-09,0.6496476256984954,0.05647195872991084,2.4885579067550946e-07,1.646506504904132e-08,6.861416738248847e-06,0.5247929605172088,2.662781050437069e-08,0.5859911260967718,5.349023684702724e-09,3.4811364914315495e-16,0.00025563135954673915,1.5149854758156362e-11,4.202322046433152e-17,2.662781050437069e-08,1.3622530653249293e-56,0.014347262504151977,4.555371975881665e-20,8.269711839032483e-30
clerk,2.591004006676449e-35,2.065999920429236e-06,1.0458697272928805e-05,0.24813648440532776,5.45589270844118e-20,,1.0318498275353276e-29,0.047388781834608915,6.514485822591514e-05,0.28194625448012856,1.5598922595161233e-20,1.415976169842477e-10,1.2579898269460621e-06,5.45589270844118e-20,0.08309065707596167,1.450142544958103e-07,0.002194145624581433,3.1399904161479786e-05,4.074948205911739e-15,0.9079765631642764,0.16311889136062813,0.00486987547074722,0.1318316121737192,2.6489062382961454e-15,0.0625339680890871,4.0679691835388965e-20,0.1867727047096473,3.1399904161479786e-05,5.594701786553889e-19,1.4191481073301842e-13,1.0009317670180615e-10,0.001022532534505307,0.02060185122359707,3.0421107645774426e-25,4.3557495174736764e-11,5.594701786553889e-19,1.7562046912866683e-22,1.2931431384262243e-11,6.514485822591514e-05,5.594701786553889e-19,1.0752820431957747e-26,1.4695821929124531e-05,5.214055830305432e-07,0.24813648440532776,0.06923132801017937,0.8690556716711346,0.002856094171813166,0.0009056475368589753,1.0458697272928805e-05,2.9426167273687437e-06,9.578081146804391e-20,0.03164218180840434,8.789597035699987e-21,2.257234800685775e-23,5.533594720498869e-13,1.1297933924693347e-27,0.10346222153549321,3.661846771693456e-08,3.703228273503592e-12
clown,0.008529315366563279,0.026604667934484377,1.788930160525599e-05,0.015366034244580926,0.08615055949897193,0.00011597507141675295,,4.350865824050688e-41,8.487972391809311e-08,4.138714959709882e-10,0.008529315366563279,9.472519699144406e-62,1.0,0.026604667934484377,0.000820200154567725,2.939655038346473e-07,8.487972391809311e-08,1.4489813944658233e-06,0.00011597507141675295,1.6086998970056383e-08,3.8736610237274003e-19,0.006363014397962528,1.6968748939665487e-12,2.9802367669835325e-43,3.0577758190520485e-13,2.8158799983290173e-38,1.3879928433801624e-08,8.487972391809311e-08,1.3879928433801624e-08,2.064554143700946e-09,0.00018672974556320526,1.6086998970056383e-08,8.487972391809311e-08,2.064554143700946e-09,0.19010264921008843,4.6466001452055934e-12,1.3879928433801624e-08,2.939655038346473e-07,2.939655038346473e-07,2.7287898070064865e-10,0.05495348093509244,3.519727182926981e-09,2.4869107751860696e-08,2.064554143700946e-09,1.6322038535298172e-19,1.788930160525599e-05,9.255961870698555e-07,1.4489813944658233e-06,0.000820200154567725,1.4489813944658233e-06,4.9307710541890445e-11,4.331364383311235e-06,2.064554143700946e-09,3.6116115724290866e-13,8.487972391809311e-08,1.5021897932517045e-74,4.6509595897404274e-05,8.415207733819897e-15,6.669447425245435e-58
coal mines person,0.3915441497884853,1.0,0.6073284809122779,0.668626186730693,0.668626186730693,0.4409896454605072,4.484887214895458e-19,,0.34629578065670724,0.43892814476395303,0.2656673865213705,9.357743282278426e-27,4.135565643335752e-13,0.5489934181719891,0.7319363133501706,0.4409896454605072,0.4931508282638316,0.668626186730693,0.5489934181719891,0.00040809197268980974,1.0,0.00014919150270731587,0.0010463384220790047,2.8564595269841197e-06,2.027346705294918e-08,0.00014837804069182573,1.0,0.9317814817448872,0.3037358219891739,1.0,0.9040457823901586,0.717578079959136,0.7973221783337022,0.6073284809122779,0.5489934181719891,0.6073284809122779,1.0,0.8640173294367852,0.34629578065670724,0.6073284809122779,0.14546451997169896,4.773655344458745e-05,0.01606641702825172,0.5489934181719891,0.17001409879087237,0.8640173294367852,0.0005673986423085623,0.4409896454605072,0.009865441349056762,0.5489934181719891,0.668626186730693,0.34629578065670724,1.0,0.19899804690975365,0.5489934181719891,7.592984040255336e-24,0.00040809197268980974,0.5465329091728095,9.12601464823204e-13
commander,3.4820103408174695e-33,2.7915669457649837e-08,1.0055312506106673e-08,0.36256640055733624,3.0744734971401105e-20,0.00048681649386360707,4.913394660612113e-28,0.0003386668193656153,,0.0020803250808067767,2.0425722926523926e-29,0.0002548689181030225,8.324477421801993e-13,6.42764177669054e-15,4.899350266251931e-07,1.206127128264732e-10,1.4271678801285003e-05,4.271318805412563e-05,3.0744734971401105e-20,0.01038177534798308,0.04684494001961647,2.0220743049434742e-05,0.006944275915196295,1.0804785808662199e-10,0.07976329187114456,8.428114782163152e-16,0.28181887957213975,0.00017475623465991724,2.1992873647688192e-13,0.09801683890069547,8.556326541596748e-14,0.7269384529880083,0.0006380841037282456,1.6553494183867986e-25,1.193294649218276e-06,1.6553494183867986e-25,4.094091485432334e-29,3.0231966171803493e-16,0.0003386668193656153,1.961253510428221e-21,5.883914378529212e-24,7.562681152027362e-07,6.3053372978980415e-09,1.0,0.32117195468189935,0.03136221130657791,2.1992873647688192e-13,0.06869825912563365,1.9669322443796843e-19,3.0859458263100295e-07,2.2747548045215558e-18,0.008013936065513264,1.1185701606176193e-23,2.6482057667526275e-31,7.849510856309788e-11,4.564113084322412e-21,5.8855549126060654e-05,0.0051022582968064875,7.496389612321166e-08
construction worker,1.4439447367987348e-23,2.9014692821358034e-06,1.4720946592140663e-05,0.6745556669955812,1.8188807578781997e-34,6.659787538664837e-05,5.088139695496052e-50,0.052733781469902576,0.052733781469902576,,1.70593330477307e-13,1.9532304639559373e-16,4.3561197627799446e-06,1.9532304639559373e-16,0.07709420510805716,0.23881829493480433,0.052733781469902576,2.847917404374013e-08,4.399488097652993e-14,1.0,3.0276383480385606e-07,0.10988098452366159,0.9067087675274235,1.8407661056564722e-20,0.0008536901288550864,5.085442865561607e-23,9.964727400454343e-06,1.078764990959663e-09,5.05824330012304e-12,2.2166073249873144e-15,1.3129248050160363e-06,3.837734094799469e-05,7.572884730295851e-07,2.7041400542159366e-22,2.045153525743391e-10,1.37383370672925e-25,1.37383370672925e-25,0.23881829493480433,4.7449269533340375e-05,2.3750404735646386e-21,1.4439447367987348e-23,0.07709420510805716,0.3553246640219263,4.3561197627799446e-06,0.01831047433482518,0.0017527917319036758,0.005315118602059381,0.0001994957618431959,0.12976471883380997,1.8958827919051692e-11,6.170857652120528e-27,0.0001994957618431959,2.1310348409200006e-19,1.1239035836968438e-29,1.4239718615649164e-18,8.763117089396561e-37,0.09770282405508668,7.32562214797676e-11,6.508458801190653e-22
