Descriptor,Perception Score,p_value
crippled person,6.893995552260934,4.338466423173993e-285
psoriasis person,14.839671886651754,6.837809333492007e-177
disabled person,34.766493699036324,2.1255716940570735e-32
down syndrome person,37.36100815418828,1.068535783626889e-22
glasses person,39.06597479614529,2.494267045159043e-17
healthy person,54.70719051148999,0.00029638629946053833
blind person,63.602668643439586,4.401101791653868e-26
ill person,68.05040770941439,4.3477551736997526e-45
athletic person,84.65530022238696,1.7849941092507243e-172
wheelchair person,95.84877687175685,0.0
