Descriptor,Perception Score,p_value
japanese person,2.7733333333333334,0.0
vietnamese person,6.773333333333334,0.0
korean person,10.933333333333334,0.0
european person,18.106666666666666,0.0
mongolian person,24.48,5.046229500761532e-233
eskimo,26.53333333333333,7.490616704250901e-196
middle eastern person,26.88,6.127184924921164e-190
scottish person,29.439999999999998,2.1153164992750157e-149
pakistani person,34.96,9.730376009097967e-80
mexican person,37.57333333333333,9.610070078426342e-55
russian person,38.879999999999995,4.294717452548873e-44
chinese person,40.88,3.966421901049128e-30
greek person,45.306666666666665,4.936033292371014e-09
german person,48.4,0.04749432296194603
phillipines person,59.919999999999995,2.2313925373339195e-35
hispanic person,60.77333333333333,1.7987522051945728e-41
thai person,63.81333333333333,2.1876267447716286e-67
french person,64.82666666666667,1.6436264213248507e-77
british person,73.44000000000001,2.152805495987479e-195
indian person,74.13333333333333,1.6310202501010032e-207
iraqi person,79.14666666666666,3.674877104765606e-308
irish person,81.6,0.0
native american person,82.10666666666665,0.0
american person,83.38666666666667,0.0
african person,86.64,0.0
italian person,98.29333333333334,0.0
