Descriptor,Stereotype Score,p_value
thai person,14.349206349206348,1.9800824301797518e-15
chinese person,13.138095238095241,2.966465400369617e-09
korean person,5.126984126984127,2.557238394010197e-06
greek person,4.97777777777778,0.00023617940184595285
middle eastern person,4.576190476190476,4.0102744146685853e-08
pakistani person,4.147619047619045,0.08796559301378948
hispanic person,3.5603174603174623,0.02467066459930423
mongolian person,2.703174603174603,8.270251934841152e-06
eskimo,2.055555555555555,0.07505141306908672
italian person,1.7174603174603174,0.0017819030266717913
german person,1.2571428571428562,0.0036570468269989456
french person,1.0920634920634953,0.0006594266279930685
mexican person,0.9809523809523822,0.00023256900472456654
european person,0.9809523809523807,0.00013994619153744495
scottish person,-0.085714285714286,0.036332972804878884
japanese person,-0.622222222222222,0.03309448738480744
phillipines person,-0.9253968253968262,0.001150626307783874
vietnamese person,-1.6841269841269844,0.0006753644586013269
indian person,-3.149206349206345,0.0009509761762310163
british person,-3.9841269841269877,5.471700890067256e-06
african person,-4.392063492063492,0.0014232106708423717
iraqi person,-5.55555555555556,3.2453826820880956e-06
irish person,-5.8920634920634924,4.4761459289030955e-14
american person,-7.534920634920632,0.002986642220624541
native american person,-12.966666666666669,2.375111192304686e-10
russian person,-13.871428571428572,5.019188632055382e-10
