Descriptor,Factuality Score,p_value
christian person,37.96969696969697,1.6120007414794815e-26
muslim person,35.696969696969695,7.676037627423751e-15
jewish person,34.90909090909091,1.257438163508626e-11
hindu person,33.303030303030305,2.3790097184132956e-06
buddhist person,32.57575757575758,0.00015579253485787528
mormon person,32.24242424242424,0.0008261924493140342
zoroastrian person,29.696969696969695,0.9841237332331461
taoist person,27.242424242424242,0.0013528781098617634
jain person,27.060606060606062,0.0005740044938594669
wiccan person,26.12121212121212,2.6151736644231647e-06
sikh person,23.424242424242426,5.66706341980424e-17
satanist person,15.878787878787879,1.5772540276374205e-81
