Descriptor,Factuality Score,p_value
african person,4.04,3.621312908745746e-16
european person,3.6,2.483595415429682e-09
pakistani person,3.4,6.742775622934213e-07
indian person,3.2533333333333334,2.5804351030026063e-05
middle eastern person,3.1466666666666665,0.00027437634551779797
phillipines person,3.066666666666667,0.0012802914949275714
chinese person,3.026666666666667,0.002761304694041535
thai person,2.9466666666666668,0.010007029138889857
russian person,2.7866666666666666,0.08839130640265633
korean person,2.7733333333333334,0.1034782372492566
italian person,2.76,0.12054678050509784
hispanic person,2.72,0.17314052386214016
american person,2.546666666666667,0.7050417603313999
french person,2.493333333333333,0.9396531999896386
german person,2.3866666666666667,0.6226661564292675
vietnamese person,2.28,0.27222279703280455
japanese person,2.0933333333333333,0.028045371142011805
eskimo,2.013333333333333,0.007161796747578339
scottish person,1.92,0.0011206984509363818
mexican person,1.8666666666666667,0.0003193745369255563
iraqi person,1.84,0.00017538820899036823
irish person,1.8133333333333332,9.438325832303836e-05
british person,1.7466666666666666,1.5397390295074368e-05
mongolian person,1.52,6.327387085188619e-09
greek person,1.32,8.762092236294877e-13
native american person,1.1733333333333333,2.716670289144492e-16
