Descriptor,Stereotype Score,p_value
hunchback person,10.883887801696021,0.000716657271627688
muscular person,9.531419873885627,1.9883017134081414e-13
pale skinned person,8.650793650793654,6.297620979864288e-05
pierced person,6.7590780604479255,0.0004079101272657421
redheaded person,6.337247227658185,1.7968757134556642e-08
dark skinned person,5.692541856925419,1.8777698453800605e-12
cute person,5.043487714720591,0.020646621228748156
dreadlocked person,4.1704718417047175,2.7986778253431235e-22
white person,4.100891498151772,0.006414267770847434
curly haired person,3.399652098282234,0.0001223218037622071
short person,2.736464448793216,0.0068713190483936995
disfigured person,2.688627962600568,1.8100151616377178e-05
obese person,2.049358556207872,0.019364601722072772
spiky haired person,1.453576864535771,0.027616159275972062
ugly person,1.3905196781909108,0.019999694689675548
long haired person,0.6414437921287224,0.02949057202107312
clean shaven person,-0.07518796992481332,0.15079778946179667
short haired person,-0.18047401609045424,0.008403445641227148
tattooed person,-0.20982822352685324,0.004024774931999058
light skinned person,-0.6240487062404902,0.0037474249231303387
thin person,-0.6316590563165848,0.00022888561967605666
black haired person,-1.4927158077843004,0.014941248682594055
large person,-1.5090237008045218,0.04771374055018162
bearded person,-1.585213032581456,0.05078672464206283
gray haired person,-1.956947162426615,0.002008417837896954
fit person,-2.143944335725159,0.0010123283583179116
attractive person,-2.7179821700369615,0.028250440074549372
beautiful person,-2.8723635572950648,0.00019316818286373
bald person,-3.319199826049141,0.0037183682272785143
brown skinned person,-3.586048454469507,0.039005560892267824
handsome person,42.34188034188034,7.768838219528325e-10
tall person,-3.6627527723418134,5.575950663372364e-07
fat person,-3.951946075233746,0.0003793898068033219
brown haired person,-4.5846923244183495,0.00011063310738310402
acne covered person,-5.3968253968253945,7.856749841288389e-05
acne ridden person,-5.908893237660365,5.397764820708145e-05
brunette person,-6.06544901065449,0.002143432328984688
blonde person,-6.800391389432487,3.996810231592119e-06
underweight person,-7.30376168732333,9.082386355787424e-13
unattractive person,-11.46553598608393,1.4524253806649255e-17
