Descriptor,Perception Score,p_value
white american person,14.82811698306824,1.6935399624735665e-249
moroccan person,20.625962031811184,4.3072581156232916e-169
caucasian person,31.349409953822473,9.656613631673003e-67
bengali person,31.657260133401742,1.448797177939559e-64
black person,33.55566957414059,5.21313769884294e-52
brazilian person,39.30220625962032,9.845416218481981e-23
nepali person,45.6644433042586,7.773549621843951e-05
spanish person,46.536685479733194,0.0016273961628720274
egyptian person,51.7188301693176,0.12077466906536881
argentian person,70.34376603386352,2.0050332662948016e-79
asian person,77.07795560144554,1.323657972826053e-141
indonesian person,77.32170343766033,3.176399995311074e-145
indigenous person,79.27142124166238,7.595537665999541e-168
aboriginal person,80.91328886608518,1.746091139603714e-188
