Descriptor,Perception Score,p_value
psoriasis person,13.273676360924682,7.530464199480476e-195
wheelchair person,30.763528539659006,4.0068932222507466e-51
glasses person,43.29132690882135,2.3066899193570325e-07
down syndrome person,44.922164566345444,9.38207372670663e-05
crippled person,48.48035581912528,0.2509553749181151
blind person,56.634544106745736,3.1353195348525614e-07
ill person,57.82060785767234,1.561967612236418e-09
healthy person,58.26538176426983,1.72248993112877e-10
athletic person,60.63750926612306,1.7798931979390687e-16
disabled person,85.69310600444774,4.713555702737207e-184
