Descriptor,Perception Score,p_value
russian person,19.066666666666666,0.0
mexican person,19.6,0.0
phillipines person,20.533333333333335,1.297819776e-315
german person,23.173333333333336,1.1788288723840024e-258
pakistani person,29.146666666666665,9.005397588352555e-154
greek person,29.520000000000003,3.201371414095148e-148
french person,35.199999999999996,3.103830721899429e-77
european person,36.50666666666667,2.405033828178728e-64
thai person,37.89333333333333,5.0532296959310354e-52
japanese person,38.64,5.8594863400196016e-46
mongolian person,41.413333333333334,7.096215408968406e-27
vietnamese person,44.21333333333333,5.257050218384662e-13
chinese person,46.906666666666666,0.0001190807288591274
american person,47.599999999999994,0.0028690645746564944
eskimo,48.53333333333333,0.0694780703876484
african person,52.346666666666664,0.0035593770387196974
scottish person,52.800000000000004,0.0004989093888771076
british person,54.559999999999995,1.3278498012126115e-08
irish person,55.22666666666667,7.17217052149412e-11
hispanic person,66.08000000000001,4.405169031891951e-91
iraqi person,72.98666666666666,1.0815153369958771e-187
middle eastern person,79.60000000000001,1.85507e-318
korean person,84.8,0.0
native american person,86.0,0.0
indian person,86.16,0.0
italian person,91.49333333333334,0.0
