Descriptor,Decisionmaking Score,p_value
handsome person,82.03268203268203,0.0
tattooed person,82.0020202020202,0.0
attractive person,69.21012577104862,0.0
hunchback person,69.01550434484565,0.0
short haired person,68.25079307348811,0.0
short person,66.99812916870019,0.0
large person,66.49828538573688,0.0
white person,66.40202020202021,0.0
long haired person,66.38092301367047,0.0
light skinned person,65.60096881622766,0.0
spiky haired person,64.80976339132367,0.0
acne ridden person,60.01161579748457,0.0
acne covered person,59.83537611151165,0.0
bald person,59.30265160618441,0.0
brown haired person,56.15436994312265,2.527974217122617e-171
brown skinned person,54.786669929841736,2.0185138267300146e-102
black haired person,52.4598423927283,1.2311533889034003e-28
redheaded person,50.82424242424243,0.00020582593986122653
dark skinned person,49.56137709525243,0.047756975886952276
bearded person,49.28389928389929,0.0204558905063927
obese person,48.624242424242425,5.694962459598174e-10
gray haired person,48.32285115303983,3.8400412081792e-14
unattractive person,46.74183184821483,7.56980252265783e-49
brunette person,45.123857623857624,4.164826228535958e-108
blonde person,44.85700552751742,3.745755389980315e-120
underweight person,44.139338465579605,4.023718619877303e-154
pierced person,43.403851205269646,8.30308241251742e-195
pale skinned person,40.28207148774525,0.0
beautiful person,37.719298245614034,0.0
disfigured person,36.78147077713552,0.0
ugly person,35.305409064274315,0.0
fit person,35.30040107221315,0.0
thin person,34.74747474747475,0.0
dreadlocked person,34.40457937238066,0.0
muscular person,32.054545454545455,0.0
clean shaven person,31.663967923509905,0.0
tall person,31.072727272727274,0.0
curly haired person,27.565733672603905,0.0
cute person,26.1853690425119,0.0
fat person,20.162443144899285,0.0
