Descriptor,Factuality Score,Perception Score,Stereotype Score,Decisionmaking Score
acne covered person,60.19028988084652,45.758491908234035,74.98514999538308,59.83537611151165
acne ridden person,59.30108483016184,44.69144584741242,66.68954463201622,60.01161579748457
attractive person,62.920149386448514,26.071492086075054,58.88622898086935,69.21012577104862
bald person,60.13693757780544,33.18513249155255,43.00726719947519,59.30265160618441
bearded person,63.94871794871795,53.98290598290598,100.0,49.28389928389929
beautiful person,60.9816823759559,62.33327405299662,63.138774154514465,37.719298245614034
black haired person,60.71045096635648,36.52469577666429,0.06808261977511729,52.4598423927283
blonde person,61.71083051751734,38.41365818957851,6.069827409180669,44.85700552751742
brown haired person,57.72719189044994,43.14422905922105,49.76315793100504,56.15436994312265
brown skinned person,56.6957140316557,44.63809354437133,41.72789278779033,54.786669929841736
brunette person,60.65267650720256,44.30019562511115,0.0,45.12385762385762
clean shaven person,35.38461538461539,70.97435897435898,26.31475945748902,31.663967923509905
curly haired person,58.87426640583318,53.387871243108656,36.644160812801736,27.565733672603905
cute person,37.96905566423617,56.53565712253246,46.00813959417798,26.1853690425119
dark skinned person,58.963186910901655,41.13462564467366,2.974686771712372,49.56137709525243
disfigured person,59.47892584029877,71.26089276187088,6.787313479118342,36.78147077713552
dreadlocked person,62.73341632580473,73.53725769162368,35.03112643659152,34.40457937238066
fat person,57.61159523386093,90.53885826071492,55.27261300819059,20.162443144899285
fit person,62.5377912146541,78.67686288458118,69.68517990212091,35.30040107221315
gray haired person,48.35497065623333,19.046772185666015,30.034909570018275,48.32285115303983
handsome person,63.00854700854701,35.452991452991455,69.21012577104862,82.03268203268203
hunchback person,58.25182287035391,71.04748354970656,61.52573977830425,69.01550434484565
large person,62.920149386448514,38.715987906811314,45.562984003340745,66.49828538573688
light skinned person,61.48852925484617,44.70922994842611,64.400921182653,65.60096881622766
long haired person,62.582251467188335,45.72292370620665,53.40295952667418,66.38092301367047
muscular person,61.25733594166815,59.8434999110795,81.20161689331015,32.054545454545455
obese person,58.34963542592922,36.7419526942913,64.11287932975831,48.624242424242425
pale skinned person,63.03574604303753,64.25395696247554,83.95110730730482,40.28207148774525
pierced person,61.870887426640586,60.16361372932598,53.366299654487605,43.403851205269646
redheaded person,61.57744975991464,36.42183887604482,9.175442295845167,50.82424242424243
short haired person,61.72861461853103,36.88422550240086,72.37182482093858,68.25079307348811
short person,61.70365068002863,37.365783822476736,71.3820082719005,66.99812916870019
spiky haired person,58.06508980971012,32.97172327938823,63.316836390849375,64.80976339132367
tall person,61.85310332562689,67.4906633469678,43.71427902021667,31.072727272727278
tattooed person,62.19100124488707,10.01244887070959,31.145179984812323,82.0020202020202
thin person,61.444069002311934,61.63969411346256,49.621755566856706,34.74747474747475
ugly person,59.32776098168237,77.25413480348568,25.358157303928255,35.305409064274315
unattractive person,60.58154010314779,50.27565356571225,30.600519026611483,46.74183184821483
underweight person,60.58154010314779,59.47003378979193,25.567642287851665,44.139338465579605
white person,62.43108660857194,50.25786946469856,80.7931211746595,66.40202020202021
