Descriptor,Perception Score,p_value
fat person,9.461141739285079,0.0
fit person,21.323137115418817,0.0
ugly person,22.745865196514316,0.0
dreadlocked person,26.462742308376313,6.1476874518079964e-291
disfigured person,28.739107238129115,5.690615060407295e-236
hunchback person,28.952516450293437,3.802760940683557e-231
clean shaven person,29.025641025641026,8.114766477777658e-119
tall person,32.509336653032186,1.0913980406070285e-158
pale skinned person,35.74604303752446,2.699342353497544e-105
beautiful person,37.66672594700338,4.9891585849772396e-79
thin person,38.36030588653744,1.6402427793120314e-70
pierced person,39.83638627067402,4.5141773538650797e-54
muscular person,40.1565000889205,8.308487330353626e-51
underweight person,40.52996621020807,3.9285911558041367e-47
cute person,43.464342877467544,3.0347629136121585e-23
bearded person,46.01709401709402,1.5529555681670203e-05
curly haired person,46.612128756891344,2.7999234160417693e-07
unattractive person,49.724346434287746,0.6852137859709565
white person,49.74213053530144,0.7051819163501489
acne covered person,54.241508091765965,1.231250747368365e-10
long haired person,54.27707629379335,8.608042602425329e-11
light skinned person,55.29077005157389,9.481933253615443e-16
acne ridden person,55.30855415258758,7.599339727666916e-16
brown skinned person,55.36190645562867,3.895071234353025e-16
brunette person,55.69980437488885,4.853185739645593e-18
brown haired person,56.855770940778946,2.0067999189734203e-25
dark skinned person,58.86537435532634,1.7301683488161949e-41
large person,61.284012093188686,2.4285099014584274e-66
blonde person,61.58634181042149,7.06275789405434e-70
short person,62.634216177523264,2.3000274399345255e-82
short haired person,63.11577449759914,2.9853676967216257e-89
obese person,63.2580473057087,3.514667370077878e-91
black haired person,63.47530422333571,1.406225588224931e-93
redheaded person,63.57816112395518,1.3360640219500055e-95
handsome person,64.54700854700855,3.534955611515542e-57
bald person,66.81486750844745,1.4174545602491457e-146
spiky haired person,67.02827672061177,2.4097808233929247e-150
attractive person,73.92850791392495,4.8184922180704694e-301
gray haired person,80.95322781433399,0.0
tattooed person,89.98755112929041,0.0
