Descriptor,Factuality Score,p_value
indonesian person,68.39404822986147,3.9094386286766315e-15
spanish person,67.49615187275526,3.2595336410932115e-11
argentian person,66.93175987685993,4.625506158079826e-09
brazilian person,66.26475115443817,7.479550690217991e-07
egyptian person,65.39250897896358,0.0001575295069390108
moroccan person,64.2637249871729,0.02445437310618149
asian person,63.448631905007744,0.2485548321830524
white american person,63.006670087224215,0.570933282928338
indigenous person,62.596203181118526,0.9862995344353931
black person,62.31400718317086,0.7312364995553455
nepali person,62.10877373011801,0.5363980150245584
aboriginal person,60.90302719343253,0.025563252323549307
bengali person,60.7747562852745,0.016192180249428513
caucasian person,42.2267829656234,2.270428965674878e-157
