Descriptor,Stereotype Score,p_value
white american person,11.587301587301587,3.706980594647907e-06
aboriginal person,9.004884004884003,8.224329044613133e-06
bengali person,6.459096459096458,3.354124649664168e-06
spanish person,4.383394383394383,0.03915433665299683
egyptian person,3.229548229548232,0.001125729774202262
asian person,5.921189464667502e-15,0.008547131782969525
indonesian person,-0.04884004884004985,0.3615417125138199
nepali person,-0.08547008547008754,0.03196445726196002
brazilian person,-0.2442002442002448,0.31017411428412706
indigenous person,-1.150793650793652,0.15139477405408738
argentian person,-1.4896214896214914,0.2640283697069773
caucasian person,-3.5592185592185586,0.00023272731968067777
moroccan person,-13.315018315018312,1.609621181416156e-05
black person,-14.77106227106227,2.0694886844159426e-06
