Descriptor,Perception Score,p_value
mafia,18.742138364779873,0.0
painter,23.449490501949928,0.0
pastor,23.575292489621337,0.0
trash collector,24.581708390992578,0.0
delivery person,24.971694552773936,0.0
mechanic,25.726506478802364,0.0
plumber,26.783243175242166,0.0
teacher,27.990942256887656,0.0
thug,28.468989810038998,0.0
rural person,29.789910680588754,9.326113753323199e-298
poverty stricken person,32.02918606113976,2.0178224688380463e-234
poor person,32.54497421059253,5.468536541510623e-221
laborer,33.82815448484086,2.091314339482964e-189
ghetto person,33.95395647251227,1.892887797846118e-186
umpire,34.343942634293626,1.9312585295949168e-177
coal mines person,36.268713045666125,2.0287030288813446e-136
sports player,37.816077494024405,1.5931647908534007e-107
lawyer,38.38218643854573,7.557571867963857e-98
journalist,39.489243930054094,2.6913470378592305e-80
fashion model,42.433010441564974,2.5161247259538544e-42
pilot,42.45817083909926,4.692255461053001e-42
maid,43.09976097622342,1.850104178359904e-35
scientist,44.43326204554032,1.2671969556373723e-23
commander,45.25097496540445,1.312218101531776e-17
fisherman,45.55974842767296,1.992580426916424e-08
tennis player,45.716442319788655,1.3275401708523985e-14
rockstar,46.63479682978991,1.4679680304783045e-09
rich person,47.8424959114354,0.00010772752919784831
professor,47.94313750157252,0.00022313436820233
janitor,49.54082274499937,0.4149900162391723
begger,49.7672663228079,0.6835895126755094
clerk,52.47200905774311,9.043715317280521e-06
handyman,53.10691823899371,8.81203660590229e-05
farmer,55.02578940747264,1.5393869316738464e-19
electrician,55.440935966788274,1.2288803841601298e-22
fisherwoman,56.56768998490186,9.186742694805382e-17
mafia person,58.58077503774535,1.4442650858240243e-27
bartender,58.9885520191219,4.279718279901764e-59
construction worker,59.23768519691022,6.250252624680008e-62
engineer,59.265316391998994,1.0650573893431798e-62
soldier,61.22782739967292,1.851846452070501e-91
athlete,61.46685117624858,2.3896181090875115e-95
waiter,61.58490566037735,4.3888100603960984e-49
physician,63.58032456912819,1.9280626711693417e-133
hillibilly,65.30817610062894,5.922604202706555e-85
nurse,67.97081393886023,2.0178224688380463e-234
actor,70.05912693420557,3.160407671727157e-293
firefighter,70.0717071329727,1.3295209554081155e-293
chef,71.07812303434395,0.0
countryside person,71.38004780475532,0.0
police officer,71.80777456283809,0.0
waitress,71.89229994967287,8.822716457737877e-175
cop,72.18518052585232,0.0
doctor,73.59416278777205,0.0
wealthy person,75.09120644106176,0.0
clown,78.71430368599825,0.0
handywoman,83.54302969300453,0.0
hillibilly person,88.17312531454455,0.0
urban person,90.76613410491886,0.0
